# Time-averaged data for fix rhoAve
# TimeStep v_rho
424000 0.981032
426000 0.980326
428000 0.977016
430000 0.975455
432000 0.978499
434000 0.979317
436000 0.977646
438000 0.976934
440000 0.975173
442000 0.976364
444000 0.977778
446000 0.9791
448000 0.980012
450000 0.981652
452000 0.981444
454000 0.981849
456000 0.980782
458000 0.980714
460000 0.981519
462000 0.979771
464000 0.978515
466000 0.979177
468000 0.980309
470000 0.979886
472000 0.982014
474000 0.981139
476000 0.982976
478000 0.984568
480000 0.982949
482000 0.98335
484000 0.98541
486000 0.98619
488000 0.985672
490000 0.983546
492000 0.980929
494000 0.982094
496000 0.982202
498000 0.983053
500000 0.982668
502000 0.982529
504000 0.981744
506000 0.984651
508000 0.982381
510000 0.982018
512000 0.982388
514000 0.982441
516000 0.984116
518000 0.982676
520000 0.982315
522000 0.981975
524000 0.983514
526000 0.981136
528000 0.983391
530000 0.984791
532000 0.982434
534000 0.980592
536000 0.981704
538000 0.985704
540000 0.987281
542000 0.986558
544000 0.98682
546000 0.986456
548000 0.986533
550000 0.988205
552000 0.988029
554000 0.98757
556000 0.985368
558000 0.986033
560000 0.985746
562000 0.984974
564000 0.986855
566000 0.985942
568000 0.984543
570000 0.987254
572000 0.988796
574000 0.987795
576000 0.986986
578000 0.987524
580000 0.983995
582000 0.982476
584000 0.980829
586000 0.980947
588000 0.978722
590000 0.977954
592000 0.976915
594000 0.981625
596000 0.98185
598000 0.978696
600000 0.975177
602000 0.97253
604000 0.974774
606000 0.977227
608000 0.976022
610000 0.975848
612000 0.974518
614000 0.975296
616000 0.975785
618000 0.974691
620000 0.976205
622000 0.976505
624000 0.977379
626000 0.980916
628000 0.981576
630000 0.982785
632000 0.982819
634000 0.981559
636000 0.980472
638000 0.978694
640000 0.981387
642000 0.982948
644000 0.982062
646000 0.983035
648000 0.9839
650000 0.98266
652000 0.983272
654000 0.984752
656000 0.984994
658000 0.984102
660000 0.984235
662000 0.985633
664000 0.986299
666000 0.986053
668000 0.986319
670000 0.985024
672000 0.983849
674000 0.98435
676000 0.982374
678000 0.982095
680000 0.979665
682000 0.978579
684000 0.976621
686000 0.97379
688000 0.975166
690000 0.976119
692000 0.975139
694000 0.976413
696000 0.975999
698000 0.97575
700000 0.975702
702000 0.976135
704000 0.977507
706000 0.979787
708000 0.983139
710000 0.983987
712000 0.983759
714000 0.987076
716000 0.987626
718000 0.98342
720000 0.980085
722000 0.980773
724000 0.98033
726000 0.982211
728000 0.98284
730000 0.982362
732000 0.981208
734000 0.980634
736000 0.982352
738000 0.982172
740000 0.982831
742000 0.981377
744000 0.98074
746000 0.981203
748000 0.980281
750000 0.978984
752000 0.980546
754000 0.981547
756000 0.983514
758000 0.984245
760000 0.983092
762000 0.982252
764000 0.984162
766000 0.983248
768000 0.983565
770000 0.98368
772000 0.982784
774000 0.982254
776000 0.981864
778000 0.982678
780000 0.9832
782000 0.987036
784000 0.986688
786000 0.98851
788000 0.989776
790000 0.990543
792000 0.989683
794000 0.990661
796000 0.987046
798000 0.986226
800000 0.987853
802000 0.988034
804000 0.989339
806000 0.989209
808000 0.987326
810000 0.982787
812000 0.980242
814000 0.98125
816000 0.984119
818000 0.982299
820000 0.981718
822000 0.981045
824000 0.981193
826000 0.980893
828000 0.978862
830000 0.978662
832000 0.980632
834000 0.980997
836000 0.98433
838000 0.983263
840000 0.980202
842000 0.981053
844000 0.983185
846000 0.985515
848000 0.984537
850000 0.984033
852000 0.981525
854000 0.981122
856000 0.980586
858000 0.978845
860000 0.977331
862000 0.976704
864000 0.977451
866000 0.97773
868000 0.978012
870000 0.979116
872000 0.980846
874000 0.986597
876000 0.986554
878000 0.988272
880000 0.987961
882000 0.988178
884000 0.989318
886000 0.989644
888000 0.98883
890000 0.989409
892000 0.990702
894000 0.988539
896000 0.987093
898000 0.989904
900000 0.993155
902000 0.991409
904000 0.993519
906000 0.99231
908000 0.993152
910000 0.994683
912000 0.99054
914000 0.988673
916000 0.988853
918000 0.987788
920000 0.986545
922000 0.98622
924000 0.987507
926000 0.98612
928000 0.983071
930000 0.979568
932000 0.980541
934000 0.983059
936000 0.982025
938000 0.980535
940000 0.978812
942000 0.980678
944000 0.978515
946000 0.978492
948000 0.97854
950000 0.977591
952000 0.980568
954000 0.980972
956000 0.979088
958000 0.97943
960000 0.981375
962000 0.981962
964000 0.982324
966000 0.984842
968000 0.986429
970000 0.985513
972000 0.987142
974000 0.986456
976000 0.985494
978000 0.984529
980000 0.981628
982000 0.978931
984000 0.977105
986000 0.977963
988000 0.979714
990000 0.982208
992000 0.983821
994000 0.983479
996000 0.984972
998000 0.98505
1000000 0.982873
1002000 0.981232
1004000 0.982531
1006000 0.98258
1008000 0.983369
1010000 0.982552
1012000 0.979854
1014000 0.979374
1016000 0.983488
1018000 0.98086
1020000 0.981893
1022000 0.983935
1024000 0.981026
1026000 0.980538
1028000 0.980123
1030000 0.978708
1032000 0.976663
1034000 0.978682
1036000 0.98051
1038000 0.980353
1040000 0.978324
1042000 0.979209
1044000 0.979991
1046000 0.980255
1048000 0.980031
1050000 0.980473
1052000 0.98028
1054000 0.980701
1056000 0.980134
1058000 0.982551
1060000 0.983699
1062000 0.984104
1064000 0.981654
1066000 0.983361
1068000 0.984916
1070000 0.986307
1072000 0.983528
1074000 0.983397
1076000 0.983943
1078000 0.980189
1080000 0.977788
1082000 0.983309
1084000 0.984303
1086000 0.983473
1088000 0.982881
1090000 0.981498
1092000 0.982631
1094000 0.981367
1096000 0.982256
1098000 0.982587
1100000 0.983138
1102000 0.984509
1104000 0.984314
1106000 0.986025
1108000 0.98686
1110000 0.98527
1112000 0.983409
1114000 0.98243
1116000 0.985468
1118000 0.98496
1120000 0.984714
1122000 0.985675
1124000 0.984352
1126000 0.980657
1128000 0.980808
1130000 0.983061
1132000 0.983074
1134000 0.986813
1136000 0.986785
1138000 0.984159
1140000 0.982141
1142000 0.981388
1144000 0.98157
1146000 0.982885
1148000 0.981956
1150000 0.980914
1152000 0.981129
1154000 0.981728
1156000 0.980879
1158000 0.98061
1160000 0.979308
1162000 0.979194
1164000 0.977312
1166000 0.978902
1168000 0.980783
1170000 0.979156
1172000 0.979954
1174000 0.980677
1176000 0.981616
1178000 0.982973
1180000 0.984265
1182000 0.982979
1184000 0.981635
1186000 0.978438
1188000 0.977732
1190000 0.980591
1192000 0.982812
1194000 0.983297
1196000 0.984906
1198000 0.986733
1200000 0.987666
1202000 0.986231
1204000 0.98226
1206000 0.9817
1208000 0.978415
1210000 0.978343
1212000 0.978489
1214000 0.979894
1216000 0.980977
1218000 0.983469
1220000 0.97911
1222000 0.977982
1224000 0.977659
1226000 0.978159
1228000 0.977358
1230000 0.977462
1232000 0.980212
1234000 0.981353
1236000 0.983151
1238000 0.982237
1240000 0.983905
1242000 0.984505
1244000 0.982805
1246000 0.98285
1248000 0.983418
1250000 0.98362
1252000 0.984247
1254000 0.983073
1256000 0.984903
1258000 0.985185
1260000 0.983287
1262000 0.984651
1264000 0.9832
1266000 0.983429
1268000 0.984607
1270000 0.981773
1272000 0.980072
1274000 0.982495
1276000 0.983686
1278000 0.983267
1280000 0.986792
1282000 0.985769
1284000 0.985531
1286000 0.984272
1288000 0.984112
1290000 0.984909
1292000 0.985954
1294000 0.985053
1296000 0.984568
1298000 0.985581
1300000 0.986224
1302000 0.988577
1304000 0.986305
1306000 0.983005
1308000 0.981327
1310000 0.981345
1312000 0.980095
1314000 0.980383
1316000 0.979755
1318000 0.977311
1320000 0.978538
1322000 0.977767
1324000 0.978295
1326000 0.981393
1328000 0.981934
1330000 0.983842
1332000 0.983286
1334000 0.982386
1336000 0.98217
1338000 0.981432
1340000 0.982683
1342000 0.982834
1344000 0.982294
1346000 0.980113
1348000 0.97803
1350000 0.97886
1352000 0.981542
1354000 0.982097
1356000 0.980169
1358000 0.980087
1360000 0.977683
1362000 0.976448
1364000 0.975773
1366000 0.97569
1368000 0.979001
1370000 0.980002
1372000 0.980218
1374000 0.98043
1376000 0.97844
1378000 0.980287
1380000 0.978631
1382000 0.981439
1384000 0.981926
1386000 0.980848
1388000 0.980546
1390000 0.978672
1392000 0.977946
1394000 0.979533
1396000 0.979037
1398000 0.981646
1400000 0.983241
1402000 0.981934
1404000 0.982455
1406000 0.981581
1408000 0.981881
1410000 0.983297
1412000 0.982157
1414000 0.980815
1416000 0.978106
1418000 0.977156
1420000 0.978142
1422000 0.979201
1424000 0.977119
1426000 0.97556
1428000 0.974529
1430000 0.975702
1432000 0.976655
1434000 0.977182
1436000 0.980643
1438000 0.983089
1440000 0.986385
1442000 0.985523
1444000 0.985034
1446000 0.984761
1448000 0.983739
1450000 0.981817
1452000 0.985948
1454000 0.985313
1456000 0.983241
1458000 0.984351
1460000 0.984179
1462000 0.982527
1464000 0.980951
1466000 0.979325
1468000 0.97698
1470000 0.975125
1472000 0.975929
1474000 0.97857
1476000 0.97562
1478000 0.975179
1480000 0.976532
1482000 0.977541
1484000 0.978268
1486000 0.980071
1488000 0.981737
1490000 0.983375
1492000 0.983004
1494000 0.982365
1496000 0.980459
1498000 0.979354
1500000 0.980854
1502000 0.97952
1504000 0.978985
1506000 0.980516
1508000 0.980443
1510000 0.97892
1512000 0.980704
1514000 0.98165
1516000 0.983719
1518000 0.984783
1520000 0.984506
1522000 0.983653
1524000 0.983276
1526000 0.983082
1528000 0.983026
1530000 0.982433
1532000 0.9804
1534000 0.978152
1536000 0.975922
1538000 0.974985
1540000 0.976912
1542000 0.977416
1544000 0.979474
1546000 0.97947
1548000 0.98103
1550000 0.982141
1552000 0.980881
1554000 0.981083
1556000 0.984367
1558000 0.984086
1560000 0.983534
1562000 0.981507
1564000 0.981029
1566000 0.980444
1568000 0.981831
1570000 0.98158
1572000 0.985165
1574000 0.988653
1576000 0.988805
1578000 0.986923
1580000 0.986856
1582000 0.987366
1584000 0.986762
1586000 0.98508
1588000 0.98563
1590000 0.985493
1592000 0.983586
1594000 0.980043
1596000 0.977386
1598000 0.976049
1600000 0.976701
1602000 0.97835
1604000 0.978792
1606000 0.980056
1608000 0.980519
1610000 0.979516
1612000 0.97816
1614000 0.977579
1616000 0.977339
1618000 0.976621
1620000 0.977827
1622000 0.977023
1624000 0.977211
1626000 0.976615
1628000 0.977352
1630000 0.978597
1632000 0.978352
1634000 0.978342
1636000 0.977789
1638000 0.978297
1640000 0.97703
1642000 0.974919
1644000 0.975652
1646000 0.977181
1648000 0.978888
1650000 0.981589
1652000 0.983946
1654000 0.983546
1656000 0.982415
1658000 0.985066
1660000 0.98223
1662000 0.97866
1664000 0.979015
1666000 0.981289
1668000 0.981758
1670000 0.978508
1672000 0.980249
1674000 0.978806
1676000 0.977766
1678000 0.975899
1680000 0.975582
1682000 0.973348
1684000 0.97383
1686000 0.976618
1688000 0.981277
1690000 0.980631
1692000 0.98206
1694000 0.982653
1696000 0.982616
1698000 0.982564
1700000 0.982974
1702000 0.984777
1704000 0.984579
1706000 0.985189
1708000 0.980636
1710000 0.977983
1712000 0.979093
1714000 0.979583
1716000 0.979374
1718000 0.980407
1720000 0.982898
1722000 0.984853
1724000 0.984836
1726000 0.984463
1728000 0.984183
1730000 0.983586
1732000 0.98216
1734000 0.982106
1736000 0.98205
1738000 0.98086
1740000 0.98325
1742000 0.985413
1744000 0.984685
1746000 0.984278
1748000 0.985271
1750000 0.984084
1752000 0.983151
1754000 0.980128
1756000 0.978386
1758000 0.980829
1760000 0.98234
1762000 0.98193
1764000 0.98026
1766000 0.977506
1768000 0.97992
1770000 0.979159
1772000 0.978562
1774000 0.978551
1776000 0.979653
1778000 0.978145
1780000 0.976993
1782000 0.975706
1784000 0.978051
1786000 0.980786
1788000 0.980623
1790000 0.983058
1792000 0.984325
1794000 0.983482
1796000 0.984929
1798000 0.981233
1800000 0.978206
1802000 0.977913
1804000 0.977609
1806000 0.979521
1808000 0.978387
1810000 0.98215
1812000 0.986113
1814000 0.988096
1816000 0.989161
1818000 0.988393
1820000 0.986215
1822000 0.987949
1824000 0.991264
1826000 0.99041
1828000 0.989921
1830000 0.987076
1832000 0.988873
1834000 0.989072
1836000 0.988815
1838000 0.987777
1840000 0.987444
1842000 0.988433
1844000 0.987947
1846000 0.986513
1848000 0.987283
1850000 0.985777
1852000 0.982048
1854000 0.980988
1856000 0.980701
1858000 0.979925
1860000 0.979361
1862000 0.981171
1864000 0.982179
1866000 0.983844
1868000 0.983556
1870000 0.981983
1872000 0.983278
1874000 0.985668
1876000 0.9874
1878000 0.991393
1880000 0.990379
1882000 0.987691
1884000 0.988062
1886000 0.986589
1888000 0.983906
1890000 0.983625
1892000 0.981139
1894000 0.982228
1896000 0.980717
1898000 0.983819
1900000 0.985601
1902000 0.984854
1904000 0.984044
1906000 0.982484
1908000 0.982581
1910000 0.982542
1912000 0.981838
1914000 0.981347
1916000 0.979696
1918000 0.979678
1920000 0.98279
1922000 0.982283
1924000 0.982071
1926000 0.980308
1928000 0.982067
1930000 0.981709
1932000 0.982215
1934000 0.981307
1936000 0.977512
1938000 0.975856
1940000 0.974838
1942000 0.976828
1944000 0.979256
1946000 0.981458
1948000 0.980572
1950000 0.97869
1952000 0.980057
1954000 0.983508
1956000 0.984448
1958000 0.985
1960000 0.981975
1962000 0.979068
1964000 0.981056
1966000 0.980997
1968000 0.983319
1970000 0.983155
1972000 0.984227
1974000 0.982659
1976000 0.982468
1978000 0.982983
1980000 0.981866
1982000 0.978844
1984000 0.976576
1986000 0.977532
1988000 0.978622
1990000 0.980915
1992000 0.982245
1994000 0.983892
1996000 0.985914
1998000 0.985117
2000000 0.984574
2002000 0.983393
2004000 0.982793
2006000 0.984664
2008000 0.985511
2010000 0.986286
2012000 0.984432
2014000 0.984589
2016000 0.984334
2018000 0.982147
2020000 0.983361
2022000 0.981885
2024000 0.982256
2026000 0.980643
2028000 0.978418
2030000 0.975449
2032000 0.977351
2034000 0.978757
2036000 0.978432
2038000 0.979045
2040000 0.980435
2042000 0.980587
2044000 0.978697
2046000 0.980284
2048000 0.98113
2050000 0.98193
2052000 0.978668
2054000 0.980053
2056000 0.981274
2058000 0.98208
2060000 0.982789
2062000 0.981769
2064000 0.981084
2066000 0.980762
2068000 0.981372
2070000 0.98328
2072000 0.984847
2074000 0.982453
2076000 0.980289
2078000 0.981568
2080000 0.983411
2082000 0.981637
2084000 0.981657
2086000 0.982049
2088000 0.983412
2090000 0.983148
2092000 0.981546
2094000 0.98363
2096000 0.981323
2098000 0.980725
2100000 0.979405
2102000 0.977649
2104000 0.978041
2106000 0.981241
2108000 0.983062
2110000 0.980913
2112000 0.982706
2114000 0.985371
2116000 0.986125
2118000 0.984618
2120000 0.983595
2122000 0.985934
2124000 0.986028
2126000 0.983156
2128000 0.98194
2130000 0.983875
2132000 0.98596
2134000 0.983904
2136000 0.983555
2138000 0.984785
2140000 0.982873
2142000 0.982648
2144000 0.985924
2146000 0.98888
2148000 0.987752
2150000 0.988204
2152000 0.987857
2154000 0.987076
2156000 0.987638
2158000 0.985779
2160000 0.985826
2162000 0.986112
2164000 0.983951
2166000 0.984452
2168000 0.98415
2170000 0.982569
2172000 0.981839
2174000 0.98005
2176000 0.980354
2178000 0.981858
2180000 0.981921
2182000 0.982434
2184000 0.983403
2186000 0.982792
2188000 0.985757
2190000 0.983721
2192000 0.983632
2194000 0.982761
2196000 0.982635
2198000 0.980143
2200000 0.979689
2202000 0.979996
2204000 0.977425
2206000 0.976118
2208000 0.974228
2210000 0.972642
2212000 0.971807
2214000 0.974962
2216000 0.977636
2218000 0.977802
2220000 0.975358
2222000 0.974921
2224000 0.973805
2226000 0.975486
2228000 0.97864
2230000 0.978883
2232000 0.976678
2234000 0.97498
2236000 0.975813
2238000 0.976343
2240000 0.974461
2242000 0.975997
2244000 0.978005
2246000 0.976698
2248000 0.978134
2250000 0.976526
2252000 0.977019
2254000 0.977036
2256000 0.978976
2258000 0.979455
2260000 0.978226
2262000 0.981169
2264000 0.98256
2266000 0.979865
2268000 0.979375
2270000 0.979299
2272000 0.980908
2274000 0.981064
2276000 0.981796
2278000 0.981541
2280000 0.981037
2282000 0.979863
2284000 0.978401
2286000 0.980665
2288000 0.981851
2290000 0.981292
2292000 0.98107
2294000 0.97939
2296000 0.979202
2298000 0.976853
2300000 0.975333
2302000 0.974774
2304000 0.97376
2306000 0.970514
2308000 0.972843
2310000 0.973057
2312000 0.97421
2314000 0.977797
2316000 0.978528
2318000 0.980425
2320000 0.981672
2322000 0.979794
2324000 0.977604
2326000 0.97812
2328000 0.977432
2330000 0.979225
2332000 0.980686
2334000 0.980799
2336000 0.980172
2338000 0.978892
2340000 0.980306
2342000 0.979936
2344000 0.979151
2346000 0.978962
2348000 0.978455
2350000 0.979724
2352000 0.978513
2354000 0.979678
2356000 0.977911
2358000 0.982362
2360000 0.981436
2362000 0.984567
2364000 0.982816
2366000 0.982114
2368000 0.982989
2370000 0.982248
2372000 0.98282
2374000 0.980628
2376000 0.980361
2378000 0.981714
2380000 0.982083
2382000 0.981867
2384000 0.983901
2386000 0.986657
2388000 0.985612
2390000 0.982045
2392000 0.981904
2394000 0.980987
2396000 0.979763
2398000 0.97936
2400000 0.980918
2402000 0.981337
2404000 0.983838
2406000 0.985589
2408000 0.986273
2410000 0.988163
2412000 0.988586
2414000 0.986348
2416000 0.988418
2418000 0.98725
2420000 0.985458
2422000 0.984958
2424000 0.983713
2426000 0.984919
2428000 0.98389
2430000 0.982953
2432000 0.986608
2434000 0.991037
2436000 0.991531
2438000 0.992585
2440000 0.992777
2442000 0.990648
2444000 0.988925
2446000 0.989355
2448000 0.989616
2450000 0.991822
2452000 0.991817
2454000 0.991261
2456000 0.990513
2458000 0.985984
2460000 0.983789
2462000 0.984977
2464000 0.984904
2466000 0.984425
2468000 0.984722
2470000 0.982385
2472000 0.982369
2474000 0.981028
2476000 0.982293
2478000 0.983843
2480000 0.985722
2482000 0.98694
2484000 0.9861
2486000 0.985252
2488000 0.985324
2490000 0.984828
2492000 0.985734
2494000 0.985704
2496000 0.986236
2498000 0.983401
2500000 0.982166
2502000 0.980733
2504000 0.982189
2506000 0.981811
2508000 0.977987
2510000 0.977907
2512000 0.981609
2514000 0.981775
2516000 0.980834
2518000 0.981982
2520000 0.981756
2522000 0.98296
2524000 0.983326
2526000 0.985582
2528000 0.985786
2530000 0.985517
2532000 0.984725
2534000 0.982136
2536000 0.982268
2538000 0.984218
2540000 0.985324
2542000 0.985931
2544000 0.987487
2546000 0.987867
2548000 0.987204
2550000 0.986458
2552000 0.986695
2554000 0.986829
2556000 0.984417
2558000 0.985351
2560000 0.987946
2562000 0.983771
2564000 0.985436
2566000 0.981993
2568000 0.981601
2570000 0.9828
2572000 0.982208
2574000 0.982942
2576000 0.982565
2578000 0.983346
2580000 0.983918
2582000 0.983227
2584000 0.981757
2586000 0.980074
2588000 0.979647
2590000 0.979364
2592000 0.979097
2594000 0.980863
2596000 0.983542
2598000 0.98518
2600000 0.985851
2602000 0.98697
2604000 0.985511
2606000 0.985245
2608000 0.984973
2610000 0.982556
2612000 0.980444
2614000 0.983068
2616000 0.98316
2618000 0.982569
2620000 0.985503
2622000 0.986327
2624000 0.985044
2626000 0.984394
2628000 0.980421
2630000 0.978829
2632000 0.979928
2634000 0.981347
2636000 0.981897
2638000 0.983163
2640000 0.982769
2642000 0.981205
2644000 0.980689
2646000 0.983035
2648000 0.986748
2650000 0.988845
2652000 0.992299
2654000 0.989518
2656000 0.990789
2658000 0.992611
2660000 0.990819
2662000 0.98888
2664000 0.987672
2666000 0.985045
2668000 0.982726
2670000 0.982745
2672000 0.983983
2674000 0.980973
2676000 0.979979
2678000 0.979565
2680000 0.976847
2682000 0.977373
2684000 0.978525
2686000 0.979316
2688000 0.97967
2690000 0.979242
2692000 0.978435
2694000 0.978126
2696000 0.977072
2698000 0.977581
2700000 0.976336
2702000 0.974794
2704000 0.975673
2706000 0.976826
2708000 0.975291
2710000 0.975264
2712000 0.975855
2714000 0.975774
2716000 0.975426
2718000 0.974993
2720000 0.976208
2722000 0.976549
2724000 0.979774
2726000 0.98192
2728000 0.982675
2730000 0.982825
2732000 0.984751
2734000 0.983263
2736000 0.979119
2738000 0.980125
2740000 0.982384
2742000 0.981921
2744000 0.979772
2746000 0.981652
2748000 0.982955
2750000 0.980662
2752000 0.980366
2754000 0.980286
2756000 0.981582
2758000 0.983506
2760000 0.985157
2762000 0.984088
2764000 0.983242
2766000 0.983337
2768000 0.98421
2770000 0.984694
2772000 0.985138
2774000 0.98479
2776000 0.983784
2778000 0.98392
2780000 0.985329
2782000 0.986323
2784000 0.984821
2786000 0.984929
2788000 0.986041
2790000 0.985204
2792000 0.985249
2794000 0.984291
2796000 0.981092
2798000 0.980258
2800000 0.981781
2802000 0.981668
2804000 0.980673
2806000 0.980788
2808000 0.977251
2810000 0.974897
2812000 0.974863
2814000 0.97503
2816000 0.976072
2818000 0.9764
2820000 0.978028
2822000 0.983213
2824000 0.982608
2826000 0.982966
2828000 0.980834
2830000 0.980926
2832000 0.981097
2834000 0.980406
2836000 0.980591
2838000 0.978904
2840000 0.977133
2842000 0.975927
2844000 0.976886
2846000 0.976575
2848000 0.97386
2850000 0.973492
2852000 0.975127
2854000 0.976773
2856000 0.980892
2858000 0.98165
2860000 0.978288
2862000 0.978851
2864000 0.977836
2866000 0.976241
2868000 0.977836
2870000 0.978333
2872000 0.977834
2874000 0.978385
2876000 0.977946
2878000 0.978959
2880000 0.978684
2882000 0.978499
2884000 0.980159
2886000 0.981207
2888000 0.979482
2890000 0.982428
2892000 0.98438
2894000 0.984755
2896000 0.983279
2898000 0.98279
2900000 0.982962
2902000 0.98245
2904000 0.982631
2906000 0.98146
2908000 0.98094
2910000 0.979078
2912000 0.976695
2914000 0.977017
2916000 0.977243
2918000 0.978088
2920000 0.981249
2922000 0.979311
2924000 0.978505
2926000 0.980001
2928000 0.978797
2930000 0.98112
2932000 0.978968
2934000 0.976799
2936000 0.976746
2938000 0.977367
2940000 0.975956
2942000 0.978295
2944000 0.980104
2946000 0.980532
2948000 0.979546
2950000 0.980184
2952000 0.981218
2954000 0.979486
2956000 0.980134
2958000 0.979267
2960000 0.979229
2962000 0.979589
2964000 0.978647
2966000 0.979007
2968000 0.978517
2970000 0.978219
2972000 0.978063
2974000 0.978277
2976000 0.97816
2978000 0.978722
2980000 0.979512
2982000 0.981197
2984000 0.984002
2986000 0.985526
2988000 0.981617
2990000 0.980689
2992000 0.979333
2994000 0.980189
2996000 0.982037
2998000 0.983113
3000000 0.985067
3002000 0.986674
3004000 0.98812
3006000 0.987891
3008000 0.98697
3010000 0.986917
3012000 0.986706
3014000 0.986136
3016000 0.986613
3018000 0.987357
3020000 0.989305
3022000 0.987493
3024000 0.987728
3026000 0.984914
3028000 0.98476
3030000 0.982376
3032000 0.979651
3034000 0.980601
3036000 0.981539
3038000 0.981391
3040000 0.981312
3042000 0.981111
3044000 0.981019
3046000 0.980924
3048000 0.982701
3050000 0.981016
3052000 0.978351
3054000 0.978438
3056000 0.979874
3058000 0.980658
3060000 0.979982
3062000 0.980211
3064000 0.98288
3066000 0.985473
3068000 0.986401
3070000 0.985137
3072000 0.984296
3074000 0.983528
3076000 0.982812
3078000 0.980003
3080000 0.981824
3082000 0.983711
3084000 0.981431
3086000 0.981447
3088000 0.981252
3090000 0.983102
3092000 0.984402
3094000 0.984154
3096000 0.984992
3098000 0.985486
3100000 0.986254
3102000 0.988365
3104000 0.987123
3106000 0.987238
3108000 0.988181
3110000 0.985765
3112000 0.98645
3114000 0.98528
3116000 0.983504
3118000 0.985797
3120000 0.988074
3122000 0.986882
3124000 0.986318
3126000 0.987296
3128000 0.986569
3130000 0.984808
3132000 0.984701
3134000 0.988471
3136000 0.988474
3138000 0.986622
3140000 0.986031
3142000 0.988158
3144000 0.98644
3146000 0.981789
3148000 0.979717
3150000 0.981156
3152000 0.983282
3154000 0.98412
3156000 0.986181
3158000 0.984487
3160000 0.985687
3162000 0.986016
3164000 0.986165
3166000 0.984386
3168000 0.980656
3170000 0.980141
3172000 0.980781
3174000 0.979546
3176000 0.979469
3178000 0.980468
3180000 0.979203
3182000 0.97986
3184000 0.98109
3186000 0.980304
3188000 0.979797
3190000 0.979633
3192000 0.981532
3194000 0.982008
3196000 0.980322
3198000 0.981813
3200000 0.982731
3202000 0.983693
3204000 0.98431
3206000 0.982236
3208000 0.979669
