# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
170000 -6.09043e-09 -1.64492e-08 1.20959e-08 -1.04438e-08
172000 -2.38095e-10 3.57143e-09 -2.68373e-08 -2.3504e-08
174000 -3.39479e-08 -4.41953e-09 6.51254e-09 -3.18549e-08
176000 1.35932e-08 1.48729e-08 -5.5934e-09 2.28727e-08
178000 5.41187e-08 9.54526e-10 6.54924e-09 6.16225e-08
180000 -1.982e-08 -4.11094e-08 -2.60396e-09 -6.35333e-08
182000 -3.123e-08 3.09943e-08 2.00492e-08 1.98135e-08
184000 -1.19849e-08 7.35166e-09 3.37607e-09 -1.25719e-09
186000 7.48219e-09 -2.23811e-08 2.53491e-09 -1.2364e-08
188000 1.99145e-08 2.61694e-09 -3.48087e-08 -1.22772e-08
190000 -3.06847e-08 -3.48689e-08 3.5738e-08 -2.98155e-08
192000 4.31814e-09 -1.04783e-08 7.01923e-09 8.59062e-10
194000 -5.01393e-09 2.07172e-08 -2.54667e-09 1.31566e-08
196000 1.45981e-08 3.86239e-09 3.46762e-08 5.31367e-08
198000 4.74667e-09 2.11981e-08 4.79193e-08 7.3864e-08
200000 1.70112e-08 -2.09701e-08 -7.00456e-10 -4.65939e-09
202000 9.29756e-09 1.83219e-09 -2.5233e-09 8.60645e-09
204000 -3.20425e-08 -4.77631e-08 -1.9337e-08 -9.91425e-08
206000 1.22445e-08 1.06853e-08 1.1471e-08 3.44008e-08
208000 1.15713e-08 1.27852e-08 -2.20323e-08 2.32412e-09
210000 1.24221e-08 4.86161e-09 3.68499e-08 5.41336e-08
212000 3.76832e-09 -3.0176e-08 5.04829e-09 -2.13593e-08
214000 -1.57688e-08 3.2164e-08 1.6606e-08 3.30012e-08
216000 -7.05977e-09 -7.69783e-09 -9.24422e-09 -2.40018e-08
218000 -1.09087e-08 2.11288e-08 -2.6758e-09 7.54432e-09
220000 9.39209e-09 3.81342e-09 1.05228e-08 2.37283e-08
222000 1.04606e-08 -4.48171e-08 -1.12376e-08 -4.55941e-08
224000 -1.84545e-08 9.3157e-08 1.77424e-08 9.24449e-08
226000 -1.30809e-08 -5.07069e-08 -5.99866e-09 -6.97864e-08
228000 1.45716e-08 -2.66727e-08 5.61989e-09 -6.48121e-09
230000 7.16275e-08 1.7823e-08 1.17171e-08 1.01168e-07
232000 -2.34115e-08 -1.76339e-08 -1.50144e-08 -5.60598e-08
234000 5.5364e-08 -3.26962e-09 -3.2573e-08 1.95214e-08
236000 -1.27486e-08 7.69312e-09 6.08481e-09 1.02928e-09
238000 1.89187e-08 -2.12185e-09 -3.23458e-08 -1.55489e-08
240000 -5.57776e-09 1.2944e-08 -2.91253e-08 -2.17591e-08
242000 8.40874e-09 4.48704e-08 2.72668e-08 8.0546e-08
244000 1.45558e-09 -3.45476e-08 -1.6628e-08 -4.972e-08
246000 -3.1784e-08 8.23309e-08 3.85752e-08 8.9122e-08
248000 -4.85452e-09 3.63518e-09 -2.0451e-08 -2.16703e-08
250000 4.05186e-08 2.88458e-08 -2.00604e-08 4.9304e-08
252000 -3.96138e-09 -1.56574e-08 -7.36719e-10 -2.03555e-08
254000 2.08796e-09 1.81325e-08 -6.55581e-09 1.36647e-08
256000 -4.1747e-08 -1.16056e-09 -4.46905e-09 -4.73767e-08
258000 3.27397e-08 -5.79328e-08 -2.28366e-08 -4.80297e-08
260000 1.06021e-08 2.57805e-08 4.13391e-08 7.77218e-08
262000 5.36321e-09 -5.33005e-08 -1.66937e-08 -6.4631e-08
264000 -3.15504e-08 1.41483e-08 -1.46593e-08 -3.20615e-08
266000 2.34037e-08 -2.64698e-08 2.19681e-08 1.8902e-08
268000 1.58081e-08 4.32468e-08 -5.09178e-08 8.13705e-09
270000 4.25804e-08 -5.67582e-09 3.57674e-08 7.2672e-08
272000 2.54276e-10 -3.00155e-08 -2.17324e-08 -5.14936e-08
274000 1.44404e-08 1.06073e-08 -1.77336e-08 7.31406e-09
276000 -1.20686e-08 1.30151e-08 -2.09958e-08 -2.00493e-08
278000 -3.52276e-08 2.82173e-08 4.90784e-08 4.20681e-08
280000 2.58347e-08 -3.61039e-08 -1.92785e-08 -2.95477e-08
282000 -7.3224e-09 3.03147e-08 -2.68305e-08 -3.83816e-09
284000 -4.31083e-08 -3.96287e-08 1.12556e-08 -7.14814e-08
286000 -1.73262e-08 1.00215e-08 -3.70261e-08 -4.43308e-08
288000 3.49679e-09 6.37781e-09 3.8724e-08 4.85986e-08
290000 3.37153e-08 5.04029e-08 -4.48096e-08 3.93086e-08
292000 1.38384e-09 -4.25848e-09 4.24881e-08 3.96135e-08
294000 4.04358e-09 -4.0421e-09 -1.86376e-08 -1.86361e-08
296000 -2.51172e-08 -2.90333e-08 -4.29476e-08 -9.70981e-08
298000 -3.89257e-08 4.26239e-08 -8.10878e-09 -4.41055e-09
300000 3.83435e-08 -3.08683e-08 5.78058e-09 1.32558e-08
302000 -9.69427e-08 4.88919e-08 -2.57184e-09 -5.06227e-08
304000 -2.69202e-08 -1.1694e-08 6.19231e-09 -3.24219e-08
306000 8.73112e-09 -5.3093e-08 -3.14009e-08 -7.57628e-08
308000 9.80411e-09 3.33914e-08 1.68676e-08 6.00631e-08
310000 3.30208e-09 -3.77677e-08 -4.07354e-09 -3.85391e-08
312000 -2.47213e-08 -2.44465e-09 1.89113e-08 -8.25463e-09
314000 1.34334e-09 9.26591e-09 2.57334e-10 1.08666e-08
316000 6.33607e-08 8.10111e-09 1.91869e-08 9.06487e-08
318000 -1.36989e-08 -4.29769e-09 -9.29192e-09 -2.72885e-08
320000 -1.53597e-08 -1.1914e-08 5.16182e-08 2.43445e-08
