# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
184000 -4.87571 -48.5465 -82.2933 -5.92774 27.9347 -22.007
186000 23.9308 -100.544 -29.7602 -155.164 89.1144 66.0501
188000 149.078 -94.0399 9.71741 -18.4746 -1.53494 20.0096
190000 98.3225 68.8577 91.815 52.2708 -82.4016 30.1308
192000 129.289 6.83808 36.2665 63.2333 -76.3451 13.1118
194000 -4.06724 54.8063 42.0195 132.836 -157.666 24.8294
196000 -41.9633 125.78 86.0868 134.214 -202.567 68.3527
198000 -8.18615 102.193 31.3 201.476 -55.6372 -145.838
200000 40.9748 89.0917 -19.603 56.074 -7.85881 -48.2151
202000 172.23 115.419 -120.685 11.9454 -7.21623 -4.7292
204000 10.7333 70.3592 -56.1392 89.8572 48.7988 -138.656
206000 -11.3669 130.274 -24.3923 169.162 -53.1383 -116.024
208000 -32.9921 64.5559 65.1106 101.734 -119.919 18.1852
210000 14.4835 -23.2545 109.628 -12.2542 -49.4384 61.6925
212000 -25.4219 14.0671 102.526 35.0669 33.3227 -68.3896
214000 -15.8831 -57.7218 21.4395 2.81918 87.2884 -90.1076
216000 -49.9823 -6.78649 -42.2819 -22.4599 42.7461 -20.2862
218000 -71.8774 32.7103 -54.2592 42.8487 -65.671 22.8223
220000 -109.622 -77.6207 -3.08113 -79.991 15.5889 64.4021
222000 -53.0183 -92.1455 -34.6227 -12.0141 -74.9458 86.9599
224000 -30.0273 -78.5175 -8.94691 -70.8866 -55.843 126.73
226000 4.01589 13.856 -111.893 -49.2451 -52.6064 101.852
228000 44.5753 -108.044 -79.9121 -16.7022 26.0693 -9.3672
230000 -65.8742 -79.1694 46.7463 -125.743 84.2301 41.5134
232000 -71.4147 -86.1029 85.4081 -169.637 125.244 44.3933
234000 -57.5293 -10.4345 197.578 -15.1349 136.287 -121.152
236000 -40.8689 -79.7474 75.1882 -43.1445 -47.0256 90.17
238000 -169.541 -34.5506 77.2167 -46.8562 -201.345 248.201
240000 -142.467 -1.59862 58.5969 -102.114 -132.87 234.985
242000 -39.0264 -14.452 151.005 -126.904 78.0334 48.8708
244000 -133.465 -107.589 69.1909 -153.2 -22.8156 176.016
