# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
870000 343.495
872000 343.491
874000 345.048
876000 346.836
878000 346.729
880000 342.937
882000 345.839
884000 346.681
886000 349.632
888000 349.278
890000 350.076
892000 353.795
894000 353.62
896000 353.005
898000 352.662
900000 352.721
902000 354.599
904000 355.275
906000 356.346
908000 356.557
910000 356.619
912000 358.747
914000 356.554
916000 357.447
918000 362.545
920000 363.882
922000 365.967
924000 366.276
926000 366.513
928000 370.365
930000 367.681
932000 370.559
934000 371.139
936000 377.796
938000 377.29
940000 379.758
942000 379.825
944000 382.905
946000 383.568
948000 385.464
950000 383.355
952000 387.291
954000 385.167
956000 389.559
958000 387.1
960000 387.244
962000 388.352
964000 390.595
966000 389.961
968000 391.489
970000 390.288
972000 392.584
974000 390.643
976000 391.05
978000 392.855
980000 395.65
982000 395.695
984000 400.563
986000 404.715
988000 403.698
990000 404.522
992000 404.609
994000 406.827
996000 406.243
998000 405.056
1000000 407.083
1002000 407.215
1004000 405.716
1006000 408.784
1008000 404.837
1010000 408.775
1012000 407.95
1014000 411.438
1016000 408.885
1018000 411.037
1020000 411.782
1022000 410.721
1024000 412.155
1026000 414.033
1028000 413.908
1030000 415.678
1032000 416.524
1034000 414.765
1036000 419.772
1038000 418.628
1040000 421.01
1042000 422.108
1044000 426.215
1046000 422.371
1048000 426.012
1050000 422.477
1052000 427.245
1054000 428.787
1056000 429.525
1058000 431.814
1060000 432.978
1062000 436.834
1064000 437.233
1066000 438.274
1068000 436.79
1070000 437.33
1072000 438.545
1074000 439.85
1076000 448.547
1078000 447.211
1080000 447.657
1082000 448.103
1084000 447.348
1086000 448.975
1088000 449.651
1090000 452.364
1092000 451.854
1094000 452.865
1096000 454.412
1098000 457.949
1100000 456.78
1102000 453.087
1104000 453.681
1106000 451.012
1108000 451.156
1110000 451.348
1112000 447.269
1114000 449.198
1116000 449.432
1118000 452.572
1120000 452.499
1122000 455.031
1124000 454.983
1126000 455.099
1128000 457.855
1130000 458.236
1132000 459.858
1134000 461.099
1136000 463.966
1138000 467.6
1140000 467.121
1142000 470.661
1144000 472.198
1146000 470.489
1148000 471.492
1150000 472.882
1152000 468.851
1154000 469.429
1156000 471.653
1158000 471.471
1160000 473.206
1162000 474.698
1164000 474.36
1166000 471.347
1168000 474.298
1170000 474.535
1172000 475.448
1174000 478.901
1176000 477.255
1178000 477.818
1180000 480.47
1182000 484.34
1184000 483.798
1186000 486.723
1188000 488.301
1190000 487.027
1192000 486.848
1194000 489.66
1196000 490.656
1198000 490.649
1200000 492.006
1202000 491.332
1204000 493.532
1206000 496.226
1208000 498.81
1210000 501.717
1212000 505.716
1214000 501.023
1216000 503.115
1218000 502.233
1220000 502.94
1222000 505.515
1224000 505.825
1226000 503.824
1228000 505.272
1230000 509.559
1232000 509.983
1234000 507.221
1236000 505.131
1238000 508.184
1240000 508.184
1242000 509.542
1244000 511.86
1246000 514.258
1248000 511.59
1250000 515.435
1252000 514.06
1254000 516.179
1256000 518.274
1258000 515.213
1260000 517.68
1262000 516.414
1264000 519.29
1266000 522.129
1268000 524.332
1270000 527.824
1272000 523.042
1274000 527.557
1276000 528.19
1278000 528.635
1280000 524.766
1282000 526.926
1284000 524.451
1286000 525.798
1288000 526.509
1290000 529.946
1292000 529.925
1294000 535.685
1296000 536.954
1298000 537.227
1300000 534.351
1302000 536.762
1304000 536.41
1306000 540.381
1308000 538.074
1310000 543.324
1312000 541.713
1314000 538.684
1316000 537.592
1318000 539.868
1320000 540.028
1322000 543.752
1324000 544.336
1326000 546.576
1328000 548.258
1330000 549.39
1332000 550.4
1334000 554.818
1336000 555.603
1338000 557.964
1340000 556.713
1342000 557.441
1344000 562.703
1346000 562.781
1348000 561.432
1350000 561.811
1352000 561.542
1354000 559.626
1356000 561.248
1358000 559.815
1360000 558.727
1362000 557.694
1364000 557.804
1366000 559.622
1368000 563.058
1370000 562.152
1372000 564.56
1374000 561.856
1376000 560.801
1378000 563.984
1380000 564.27
1382000 567.727
1384000 567.102
1386000 568.375
1388000 571.006
1390000 576.166
1392000 576.637
1394000 576.002
1396000 575.962
1398000 581.304
1400000 581.923
1402000 581.002
1404000 583.94
1406000 584.071
1408000 584.385
1410000 583.865
1412000 586.069
1414000 582.381
1416000 589.335
1418000 585.557
1420000 584.963
1422000 585.254
1424000 585.479
1426000 585.371
1428000 588.051
1430000 588.207
1432000 590.835
1434000 589.151
1436000 591.456
1438000 590.784
1440000 589.77
1442000 592.704
1444000 594.165
1446000 594.352
1448000 594.136
1450000 596.471
1452000 595.475
1454000 593.647
1456000 595.386
1458000 598.891
1460000 599.229
1462000 598.613
1464000 601.735
1466000 600.505
1468000 601.423
1470000 602.315
1472000 607.49
1474000 605.547
1476000 605.694
1478000 605.485
1480000 606.246
1482000 605.766
1484000 607.215
1486000 607.29
1488000 607.762
1490000 608.566
1492000 609.261
1494000 610.078
1496000 616.132
1498000 616.331
1500000 615.771
1502000 617.976
1504000 617.611
1506000 616.893
1508000 614.715
1510000 618.883
1512000 618.835
1514000 616.542
1516000 615.344
1518000 613.029
1520000 614.986
1522000 616.087
1524000 615.894
1526000 619.444
1528000 619.67
1530000 617.332
1532000 615.699
1534000 615.927
1536000 616.027
1538000 616.939
1540000 614.327
1542000 614.322
1544000 613.437
1546000 616.781
1548000 620.142
1550000 621.988
1552000 626.301
1554000 622.197
1556000 618.582
1558000 618.709
1560000 621.751
1562000 621.1
1564000 620.583
1566000 620.263
1568000 617.309
1570000 617.351
1572000 617.881
1574000 618.918
1576000 622.332
1578000 622.24
