# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
124000 1.36342e+11 1.12116e+11 9.12322e+10 1.16503e+11 7.68883e+10 8.81587e+10
126000 1.34837e+11 1.11277e+11 9.013e+10 1.1589e+11 7.60177e+10 8.70553e+10
128000 1.35007e+11 1.12277e+11 9.49284e+10 1.1901e+11 7.54495e+10 8.7786e+10
130000 1.33048e+11 1.10663e+11 9.35391e+10 1.23947e+11 7.57398e+10 8.84131e+10
132000 1.31121e+11 1.09035e+11 9.4177e+10 1.23124e+11 7.53232e+10 8.71219e+10
134000 1.34114e+11 1.07497e+11 9.46901e+10 1.22815e+11 7.42311e+10 8.76641e+10
136000 1.33231e+11 1.06171e+11 9.34271e+10 1.21184e+11 7.32018e+10 8.67562e+10
138000 1.31742e+11 1.04691e+11 9.21193e+10 1.21489e+11 7.29454e+10 8.58064e+10
140000 1.3638e+11 1.03473e+11 9.08229e+10 1.20393e+11 7.1959e+10 8.49369e+10
142000 1.34557e+11 1.02323e+11 8.95615e+10 1.19228e+11 7.13269e+10 8.54946e+10
144000 1.32714e+11 1.00923e+11 9.20598e+10 1.18028e+11 7.06638e+10 8.58078e+10
146000 1.30979e+11 1.00939e+11 9.08235e+10 1.17999e+11 7.13992e+10 8.46506e+10
148000 1.31331e+11 1.02597e+11 8.97028e+10 1.16505e+11 7.12221e+10 8.48747e+10
150000 1.31975e+11 1.03459e+11 8.85764e+10 1.15531e+11 7.03311e+10 8.46839e+10
152000 1.30261e+11 1.03275e+11 8.77953e+10 1.14372e+11 6.94478e+10 8.37529e+10
154000 1.28603e+11 1.06115e+11 8.68786e+10 1.13051e+11 7.48682e+10 8.72192e+10
156000 1.27018e+11 1.082e+11 8.60948e+10 1.12435e+11 8.18803e+10 8.97971e+10
158000 1.26853e+11 1.07046e+11 8.57337e+10 1.11144e+11 8.39272e+10 9.30479e+10
160000 1.26933e+11 1.05742e+11 8.54341e+10 1.10327e+11 8.43539e+10 9.21153e+10
162000 1.31135e+11 1.04544e+11 8.44533e+10 1.09768e+11 8.69532e+10 9.20274e+10
164000 1.29558e+11 1.03367e+11 8.34618e+10 1.08963e+11 8.6811e+10 9.09725e+10
166000 1.28252e+11 1.0263e+11 8.35246e+10 1.09519e+11 8.7077e+10 8.99385e+10
168000 1.27971e+11 1.03432e+11 8.27083e+10 1.08854e+11 8.60707e+10 8.93091e+10
170000 1.26909e+11 1.02986e+11 8.29883e+10 1.08436e+11 8.56409e+10 9.10816e+10
172000 1.25464e+11 1.01812e+11 8.27191e+10 1.07493e+11 8.46957e+10 9.0595e+10
174000 1.25112e+11 1.04795e+11 8.17795e+10 1.06275e+11 8.44544e+10 9.03864e+10
176000 1.24033e+11 1.06681e+11 8.14966e+10 1.07006e+11 8.40089e+10 8.98304e+10
178000 1.23735e+11 1.05787e+11 8.11452e+10 1.05922e+11 8.39756e+10 9.0451e+10
180000 1.22415e+11 1.04893e+11 8.03687e+10 1.04785e+11 8.34122e+10 8.96449e+10
182000 1.21097e+11 1.05417e+11 8.0588e+10 1.06342e+11 8.26412e+10 9.02927e+10
184000 1.19799e+11 1.04689e+11 8.08865e+10 1.05203e+11 8.18533e+10 8.93843e+10
186000 1.18622e+11 1.05296e+11 8.01768e+10 1.07158e+11 8.19963e+10 8.89904e+10
188000 1.21117e+11 1.05677e+11 7.93487e+10 1.06073e+11 8.11334e+10 8.81042e+10
190000 1.21466e+11 1.05366e+11 7.99272e+10 1.05309e+11 8.11371e+10 8.72999e+10
192000 1.22971e+11 1.04288e+11 7.93201e+10 1.04718e+11 8.10217e+10 8.64212e+10
194000 1.21719e+11 1.03714e+11 7.8799e+10 1.05811e+11 8.32388e+10 8.56148e+10
196000 1.20774e+11 1.05223e+11 7.92008e+10 1.06925e+11 8.73717e+10 8.53164e+10
198000 1.19577e+11 1.05842e+11 7.85655e+10 1.10727e+11 8.68695e+10 8.70155e+10
200000 1.18659e+11 1.06051e+11 7.78485e+10 1.10004e+11 8.60167e+10 8.64301e+10
202000 1.22149e+11 1.07101e+11 7.937e+10 1.08943e+11 8.51795e+10 8.55854e+10
204000 1.20981e+11 1.0683e+11 7.9089e+10 1.08826e+11 8.463e+10 8.69943e+10
206000 1.19838e+11 1.08414e+11 7.84201e+10 1.11081e+11 8.4142e+10 8.77111e+10
208000 1.18862e+11 1.08017e+11 7.83192e+10 1.11206e+11 8.49842e+10 8.69135e+10
210000 1.17773e+11 1.07079e+11 7.93944e+10 1.10174e+11 8.44591e+10 8.65245e+10
212000 1.16769e+11 1.06108e+11 8.02242e+10 1.09282e+11 8.37943e+10 8.62404e+10
