# Time-averaged data for fix myat4
# TimeStep v_position_piston_right
3670000 66.8062
3680000 66.8361
3690000 66.9597
3700000 66.7139
3710000 66.7972
3720000 67.0082
3730000 67.1493
3740000 67.4311
3750000 67.622
3760000 68.1253
3770000 68.0946
3780000 67.8777
3790000 67.6698
3800000 67.824
3810000 68.0227
3820000 67.8341
3830000 68.0076
3840000 67.8606
3850000 68.0487
3860000 68.1554
3870000 67.773
3880000 67.892
3890000 68.0685
3900000 68.2568
3910000 68.3798
3920000 68.2862
3930000 68.1528
3940000 68.0642
3950000 67.9663
3960000 68.0101
3970000 67.9332
3980000 67.9949
3990000 68.112
4000000 67.8953
