# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c2_RDF[1] c2_RDF[2] c2_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0.000187734 2.10526e-06
39 0.898333 0.00195919 2.52632e-05
40 0.921667 0.0284264 0.000378947
41 0.945 0.123612 0.00199579
42 0.968333 0.41005 0.00762737
43 0.991667 0.886177 0.0203916
44 1.015 1.49536 0.0429558
45 1.03833 2.06591 0.0755789
46 1.06167 2.52038 0.117187
47 1.085 2.79397 0.165362
48 1.10833 2.89298 0.217413
49 1.13167 2.88559 0.271539
50 1.155 2.83418 0.326916
51 1.17833 2.70473 0.38192
52 1.20167 2.54298 0.435703
53 1.225 2.40594 0.488583
54 1.24833 2.28234 0.540676
55 1.27167 2.15554 0.591731
56 1.295 2.04539 0.641971
57 1.31833 1.94634 0.691516
58 1.34167 1.82852 0.739724
59 1.365 1.76863 0.787989
60 1.38833 1.67799 0.83536
61 1.41167 1.60877 0.882316
62 1.435 1.56448 0.929501
63 1.45833 1.50178 0.97628
64 1.48167 1.46454 1.02337
65 1.505 1.40901 1.07011
66 1.52833 1.37475 1.11715
67 1.55167 1.32924 1.16402
68 1.575 1.31286 1.21172
69 1.59833 1.28505 1.2598
70 1.62167 1.27577 1.30894
71 1.645 1.25105 1.35852
72 1.66833 1.22523 1.40847
73 1.69167 1.22014 1.45961
74 1.715 1.2052 1.51153
75 1.73833 1.20227 1.56474
76 1.76167 1.17675 1.61823
77 1.785 1.17199 1.67292
78 1.80833 1.16673 1.7288
79 1.83167 1.15785 1.78569
80 1.855 1.15986 1.84415
81 1.87833 1.15795 1.90399
82 1.90167 1.14727 1.96475
83 1.925 1.14903 2.02711
84 1.94833 1.14118 2.09056
85 1.97167 1.14723 2.15588
86 1.995 1.15064 2.22295
87 2.01833 1.14144 2.29106
88 2.04167 1.14499 2.36096
89 2.065 1.13409 2.43179
90 2.08833 1.1459 2.50498
91 2.11167 1.14038 2.57946
92 2.135 1.13464 2.65521
93 2.15833 1.14606 2.7334
94 2.18167 1.13445 2.81249
95 2.205 1.13159 2.89307
96 2.22833 1.12426 2.97483
97 2.25167 1.12302 3.05822
98 2.275 1.11702 3.1429
99 2.29833 1.1206 3.22959
100 2.32167 1.12099 3.31809
101 2.345 1.11121 3.40759
102 2.36833 1.10119 3.49805
103 2.39167 1.10051 3.59025
104 2.415 1.09793 3.68403
105 2.43833 1.09044 3.77899
106 2.46167 1.09446 3.87612
107 2.485 1.09388 3.97506
108 2.50833 1.08806 4.07532
109 2.53167 1.07149 4.17591
110 2.555 1.07409 4.2786
111 2.57833 1.07212 4.38299
112 2.60167 1.06364 4.48843
113 2.625 1.07081 4.5965
114 2.64833 1.06475 4.70588
115 2.67167 1.05978 4.81667
116 2.695 1.05616 4.92902
117 2.71833 1.05051 5.04271
118 2.74167 1.05956 5.15936
119 2.765 1.04685 5.27658
120 2.78833 1.04611 5.3957
121 2.81167 1.04153 5.51629
122 2.835 1.04168 5.63891
123 2.85833 1.03926 5.76327
124 2.88167 1.04202 5.89
125 2.905 1.0465 6.01935
126 2.92833 1.0436 6.15042
127 2.95167 1.03521 6.28252
128 2.975 1.03992 6.41732
129 2.99833 1.04173 6.55448
130 3.02167 1.03034 6.69227
131 3.045 1.044 6.83404
132 3.06833 1.0331 6.97649
133 3.09167 1.03347 7.12117
134 3.115 1.02663 7.26707
135 3.13833 1.03232 7.41599
136 3.16167 1.03409 7.56738
137 3.185 1.02312 7.71939
138 3.20833 1.02706 7.87423
139 3.23167 1.0246 8.03095
140 3.255 1.02624 8.1902
141 3.27833 1.02303 8.35123
142 3.30167 1.02402 8.51472
143 3.325 1.02504 8.6807
144 3.34833 1.01573 8.84749
145 3.37167 1.02617 9.01834
146 3.395 1.02679 9.19168
147 3.41833 1.02028 9.36629
148 3.44167 1.02138 9.54348
149 3.465 1.01824 9.72253
150 3.48833 1.01908 9.90416
