# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c2_RDF[1] c2_RDF[2] c2_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 7.04002e-05 1.26316e-05
39 0.898333 0.00404084 0.000776842
40 0.921667 0.0421532 0.00916842
41 0.945 0.20946 0.0530042
42 0.968333 0.61932 0.189095
43 0.991667 1.22901 0.472331
44 1.015 1.86096 0.921623
45 1.03833 2.34993 1.51535
46 1.06167 2.60394 2.20316
47 1.085 2.65271 2.93499
48 1.10833 2.54006 3.6662
49 1.13167 2.35421 4.37274
50 1.155 2.13439 5.04
51 1.17833 1.92392 5.66601
52 1.20167 1.70946 6.24448
53 1.225 1.53163 6.7831
54 1.24833 1.36604 7.28196
55 1.27167 1.23707 7.75077
56 1.295 1.1187 8.19042
57 1.31833 1.02378 8.60739
58 1.34167 0.943997 9.0056
59 1.365 0.878567 9.38921
60 1.38833 0.820615 9.75988
61 1.41167 0.777952 10.1232
62 1.435 0.73947 10.48
63 1.45833 0.709171 10.8335
64 1.48167 0.687858 11.1873
65 1.505 0.676035 11.5462
66 1.52833 0.66392 11.9096
67 1.55167 0.657547 12.2806
68 1.575 0.65988 12.6642
69 1.59833 0.665944 13.0629
70 1.62167 0.672297 13.4772
71 1.645 0.685085 13.9116
72 1.66833 0.709036 14.3741
73 1.69167 0.731263 14.8645
74 1.715 0.761007 15.389
75 1.73833 0.787146 15.9464
76 1.76167 0.825396 16.5467
77 1.785 0.861421 17.1899
78 1.80833 0.901456 17.8807
79 1.83167 0.941434 18.6209
80 1.855 0.984453 19.4147
81 1.87833 1.02245 20.26
82 1.90167 1.05666 21.1555
83 1.925 1.09322 22.1048
84 1.94833 1.12715 23.1075
85 1.97167 1.15712 24.1616
86 1.995 1.18452 25.2664
87 2.01833 1.20242 26.4143
88 2.04167 1.21836 27.6044
89 2.065 1.22917 28.8327
90 2.08833 1.22646 30.0861
91 2.11167 1.22204 31.3631
92 2.135 1.20646 32.6518
93 2.15833 1.18533 33.9457
94 2.18167 1.16636 35.2467
95 2.205 1.14051 36.5461
96 2.22833 1.11095 37.8388
97 2.25167 1.08218 39.1246
98 2.275 1.05302 40.4017
99 2.29833 1.0244 41.6698
100 2.32167 1.00195 42.9354
101 2.345 0.975408 44.1923
102 2.36833 0.953435 45.4456
103 2.39167 0.935645 46.6997
104 2.415 0.920769 47.9582
105 2.43833 0.907208 49.2221
106 2.46167 0.898361 50.4979
107 2.485 0.888167 51.7831
108 2.50833 0.886419 53.0901
109 2.53167 0.881844 54.4145
110 2.555 0.883017 55.7654
111 2.57833 0.887537 57.148
112 2.60167 0.89383 58.5658
113 2.625 0.902848 60.0236
114 2.64833 0.912705 61.5237
115 2.67167 0.922966 63.0676
116 2.695 0.935614 64.66
117 2.71833 0.947926 66.3014
118 2.74167 0.963781 67.9991
119 2.765 0.979311 69.7536
120 2.78833 0.992775 71.5624
121 2.81167 1.00562 73.4253
122 2.835 1.01901 75.3446
123 2.85833 1.02889 77.3144
124 2.88167 1.04141 79.341
125 2.905 1.04946 81.4164
126 2.92833 1.05771 83.5418
127 2.95167 1.06404 85.7142
128 2.975 1.06725 87.9277
129 2.99833 1.06971 90.1813
130 3.02167 1.06943 92.4695
131 3.045 1.06627 94.7863
132 3.06833 1.06511 97.1361
133 3.09167 1.06145 99.5137
134 3.115 1.05744 101.918
135 3.13833 1.05051 104.343
136 3.16167 1.04095 106.781
137 3.185 1.03347 109.238
138 3.20833 1.0271 111.715
139 3.23167 1.01669 114.204
140 3.255 1.01144 116.715
141 3.27833 1.00215 119.239
142 3.30167 0.993389 121.776
143 3.325 0.987736 124.335
144 3.34833 0.979446 126.909
145 3.37167 0.973823 129.503
146 3.395 0.969258 132.121
147 3.41833 0.965332 134.764
148 3.44167 0.96136 137.433
149 3.465 0.960451 140.135
150 3.48833 0.960188 142.873
