# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
124000 8.79071e+10 7.26305e+10 1.17332e+11 1.10915e+11 1.18753e+11 1.4135e+11
126000 8.67809e+10 7.1532e+10 1.1627e+11 1.09283e+11 1.17661e+11 1.39452e+11
128000 9.24048e+10 7.04515e+10 1.17318e+11 1.08517e+11 1.19031e+11 1.37989e+11
130000 9.23496e+10 7.00864e+10 1.18675e+11 1.07238e+11 1.17337e+11 1.35973e+11
132000 9.11908e+10 6.9042e+10 1.16981e+11 1.09806e+11 1.18381e+11 1.34081e+11
134000 9.00831e+10 6.95397e+10 1.15261e+11 1.08287e+11 1.19593e+11 1.34093e+11
136000 8.87853e+10 7.19544e+10 1.1379e+11 1.06739e+11 1.19263e+11 1.33915e+11
138000 8.87357e+10 7.15047e+10 1.14148e+11 1.05282e+11 1.18047e+11 1.32921e+11
140000 8.76902e+10 7.31321e+10 1.12547e+11 1.05001e+11 1.19644e+11 1.31551e+11
142000 8.68273e+10 7.24341e+10 1.11218e+11 1.05282e+11 1.18067e+11 1.30782e+11
144000 8.66641e+10 7.14948e+10 1.09988e+11 1.08202e+11 1.16521e+11 1.32308e+11
146000 8.59867e+10 7.05544e+10 1.08516e+11 1.13582e+11 1.15001e+11 1.36196e+11
148000 8.50732e+10 7.02844e+10 1.07347e+11 1.12877e+11 1.13823e+11 1.34472e+11
150000 8.59096e+10 6.93649e+10 1.06381e+11 1.12833e+11 1.12408e+11 1.34918e+11
152000 8.4861e+10 6.98479e+10 1.05631e+11 1.11374e+11 1.12243e+11 1.34655e+11
154000 8.41329e+10 6.93682e+10 1.04736e+11 1.10287e+11 1.10838e+11 1.33087e+11
156000 8.79222e+10 6.8646e+10 1.03414e+11 1.09299e+11 1.11382e+11 1.31975e+11
158000 9.14121e+10 6.83199e+10 1.02505e+11 1.08966e+11 1.10899e+11 1.3033e+11
160000 9.04568e+10 6.74766e+10 1.01358e+11 1.07778e+11 1.09834e+11 1.28745e+11
162000 8.9635e+10 6.74988e+10 1.01945e+11 1.08565e+11 1.10093e+11 1.27209e+11
164000 8.86658e+10 6.66927e+10 1.03099e+11 1.07486e+11 1.09055e+11 1.26707e+11
166000 9.18714e+10 6.71545e+10 1.01991e+11 1.08691e+11 1.08652e+11 1.25595e+11
168000 9.34379e+10 6.6518e+10 1.0136e+11 1.10432e+11 1.08612e+11 1.24508e+11
170000 1.00725e+11 6.81185e+10 1.00873e+11 1.10924e+11 1.08079e+11 1.23289e+11
172000 1.02919e+11 7.00776e+10 1.0002e+11 1.10143e+11 1.07735e+11 1.24595e+11
174000 1.02099e+11 7.3051e+10 9.88874e+10 1.08892e+11 1.08728e+11 1.25337e+11
176000 1.00983e+11 7.28676e+10 9.83058e+10 1.09611e+11 1.07854e+11 1.27863e+11
178000 9.98634e+10 7.98136e+10 9.82976e+10 1.15211e+11 1.08219e+11 1.28293e+11
180000 1.00122e+11 7.89597e+10 9.7499e+10 1.14146e+11 1.0977e+11 1.2834e+11
182000 9.90537e+10 7.84407e+10 9.70293e+10 1.14024e+11 1.08663e+11 1.27528e+11
184000 9.7994e+10 7.76231e+10 9.62095e+10 1.13848e+11 1.08496e+11 1.26157e+11
186000 9.73307e+10 7.90431e+10 9.52469e+10 1.12864e+11 1.0779e+11 1.26129e+11
188000 9.70511e+10 7.85871e+10 9.47647e+10 1.11758e+11 1.09697e+11 1.26926e+11
190000 9.998e+10 7.78903e+10 9.37776e+10 1.1134e+11 1.12628e+11 1.26936e+11
192000 9.89574e+10 7.7338e+10 9.43193e+10 1.10202e+11 1.11626e+11 1.2572e+11
194000 9.80888e+10 7.71203e+10 9.98976e+10 1.10783e+11 1.12611e+11 1.2446e+11
196000 9.71041e+10 7.73426e+10 1.03427e+11 1.09862e+11 1.1164e+11 1.23204e+11
198000 9.61488e+10 7.65793e+10 1.03418e+11 1.10161e+11 1.10528e+11 1.23219e+11
200000 9.55357e+10 7.87434e+10 1.02781e+11 1.10272e+11 1.12363e+11 1.22377e+11
202000 9.47132e+10 8.34772e+10 1.01781e+11 1.12902e+11 1.14481e+11 1.21195e+11
204000 9.56493e+10 8.56787e+10 1.01233e+11 1.12047e+11 1.14933e+11 1.20595e+11
206000 9.74051e+10 8.80065e+10 1.00388e+11 1.1112e+11 1.15342e+11 1.20145e+11
208000 1.0043e+11 8.80744e+10 9.99892e+10 1.11056e+11 1.14297e+11 1.20508e+11
210000 1.00292e+11 8.82762e+10 1.00698e+11 1.1001e+11 1.13548e+11 1.19649e+11
212000 9.96766e+10 8.77628e+10 1.00813e+11 1.09453e+11 1.12498e+11 1.19157e+11
214000 9.88794e+10 8.93604e+10 1.05172e+11 1.09093e+11 1.1227e+11 1.18062e+11
216000 9.85686e+10 9.19947e+10 1.04293e+11 1.09296e+11 1.11345e+11 1.17577e+11
218000 9.91494e+10 9.1362e+10 1.0419e+11 1.08359e+11 1.10768e+11 1.16686e+11
220000 9.84045e+10 9.05441e+10 1.0509e+11 1.08181e+11 1.09776e+11 1.16301e+11
222000 9.92281e+10 9.03107e+10 1.0556e+11 1.08382e+11 1.0894e+11 1.15754e+11
224000 9.9199e+10 9.00094e+10 1.04939e+11 1.07997e+11 1.0994e+11 1.15144e+11
226000 9.96996e+10 8.97853e+10 1.0502e+11 1.08884e+11 1.12018e+11 1.14286e+11
228000 9.98984e+10 8.90053e+10 1.04107e+11 1.08138e+11 1.11121e+11 1.13817e+11
230000 9.95245e+10 8.8874e+10 1.04329e+11 1.0746e+11 1.10909e+11 1.14708e+11
232000 9.8796e+10 8.84565e+10 1.0365e+11 1.07247e+11 1.10157e+11 1.13887e+11
