# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
170000 2.4794e-08 4.25928e-08 -1.61865e-08 5.12003e-08
172000 -9.01746e-09 -1.68094e-09 2.81766e-09 -7.88074e-09
174000 -2.29374e-08 -1.50095e-08 -1.86146e-09 -3.98084e-08
176000 -3.90306e-08 4.56889e-08 3.7888e-08 4.45463e-08
178000 -1.10571e-08 -6.873e-09 -3.9017e-08 -5.69471e-08
180000 -8.01521e-09 -2.87115e-08 -2.7034e-08 -6.37608e-08
182000 -6.98584e-09 -1.92288e-08 -1.68449e-08 -4.30595e-08
184000 5.94483e-08 -5.38738e-09 1.44552e-08 6.85161e-08
186000 2.39442e-09 1.20473e-08 2.01759e-08 3.46176e-08
188000 5.66349e-09 -3.77808e-08 -3.09625e-08 -6.30798e-08
190000 9.59196e-09 4.08433e-09 4.21367e-08 5.5813e-08
192000 -3.62227e-08 -1.83611e-09 -2.15679e-08 -5.96268e-08
194000 -3.31398e-08 -3.18452e-08 -4.5979e-09 -6.95829e-08
196000 2.04025e-08 1.36674e-08 1.28511e-08 4.6921e-08
198000 -2.68801e-08 1.63237e-08 -3.24221e-08 -4.29784e-08
200000 2.78537e-08 -2.86231e-08 1.0636e-08 9.86667e-09
202000 3.52296e-08 -1.64578e-08 -5.42354e-09 1.33482e-08
204000 -4.66082e-08 -2.98797e-08 2.03477e-08 -5.61402e-08
206000 -1.01578e-08 -1.19942e-09 -4.28296e-08 -5.41868e-08
208000 5.32104e-10 2.38622e-08 1.75426e-08 4.19369e-08
210000 2.41268e-08 -2.14003e-08 -8.71773e-09 -5.99121e-09
212000 1.91403e-08 -5.02647e-08 1.62507e-08 -1.48738e-08
214000 -4.62078e-08 4.78392e-08 1.21531e-09 2.84667e-09
216000 1.95151e-08 1.39495e-08 -5.91666e-09 2.75479e-08
218000 8.44924e-09 2.1768e-08 3.49808e-08 6.5198e-08
220000 -7.60261e-10 -5.16091e-08 2.28601e-08 -2.95093e-08
222000 -2.81678e-08 3.09346e-08 1.07144e-08 1.34811e-08
224000 2.00251e-08 -2.6714e-08 1.23954e-09 -5.44945e-09
226000 -2.64196e-08 -1.86709e-09 -7.56762e-08 -1.03963e-07
228000 2.86407e-08 2.18568e-08 1.52105e-08 6.57079e-08
230000 -3.68408e-08 9.32475e-09 -2.33495e-08 -5.08656e-08
232000 8.23975e-09 -1.81665e-08 -2.58799e-09 -1.25148e-08
234000 3.07208e-09 1.95226e-08 3.64041e-08 5.89989e-08
236000 -7.13116e-08 5.67661e-09 -2.58984e-08 -9.15334e-08
238000 -1.5923e-09 2.52864e-08 1.2895e-08 3.65892e-08
240000 6.97217e-08 -7.07732e-09 -1.60319e-08 4.66125e-08
242000 -1.00957e-08 -4.86383e-09 -1.48435e-08 -2.9803e-08
244000 -1.5275e-08 -1.58047e-08 5.33611e-08 2.22813e-08
246000 3.66279e-08 1.10505e-08 -4.04767e-08 7.20174e-09
248000 -2.57014e-09 1.509e-08 -3.72883e-08 -2.47685e-08
250000 -7.60975e-09 -1.02823e-08 7.54086e-09 -1.03512e-08
252000 4.39119e-08 -1.8275e-08 4.38412e-08 6.94782e-08
254000 -3.64604e-08 -1.56958e-08 -1.13204e-08 -6.34767e-08
256000 1.15542e-08 -1.07978e-08 2.98136e-08 3.057e-08
258000 1.51628e-08 -1.701e-08 -3.15882e-08 -3.34354e-08
260000 -1.87861e-08 -1.01268e-08 1.75485e-08 -1.13644e-08
262000 3.74504e-08 -1.5625e-08 -1.59661e-08 5.85936e-09
264000 3.76722e-08 -1.60593e-09 3.14204e-08 6.74867e-08
266000 -9.62811e-08 -4.93584e-10 8.82559e-09 -8.79491e-08
268000 1.35279e-08 2.3909e-09 4.3785e-08 5.97038e-08
270000 3.503e-08 6.13332e-08 -3.48228e-08 6.15404e-08
272000 -4.33743e-08 1.0452e-08 -2.14466e-08 -5.43689e-08
274000 -1.34359e-08 6.62587e-08 4.31538e-08 9.59765e-08
276000 9.36033e-09 -4.96535e-08 -3.32218e-08 -7.3515e-08
278000 -1.2997e-08 2.63227e-09 -9.71639e-10 -1.13364e-08
280000 1.24379e-08 -1.12861e-08 1.32841e-08 1.44358e-08
282000 -4.30801e-08 -1.80992e-08 2.3536e-08 -3.76433e-08
284000 -5.98664e-09 -5.04391e-09 -4.76619e-08 -5.86925e-08
286000 1.30175e-08 -5.71165e-09 3.64535e-08 4.37594e-08
288000 1.02822e-08 2.00223e-09 3.27942e-08 4.50786e-08
290000 -6.85072e-08 -1.22342e-08 1.03747e-08 -7.03667e-08
292000 2.59972e-08 -2.94484e-08 1.71885e-08 1.37373e-08
294000 -1.47611e-09 -1.14189e-08 -4.15231e-09 -1.70473e-08
296000 2.22657e-09 4.9327e-08 9.71095e-09 6.12645e-08
298000 -2.52363e-08 -1.2881e-08 -1.54746e-08 -5.35919e-08
300000 7.56087e-09 3.62896e-08 2.2577e-09 4.61082e-08
302000 3.10452e-08 -3.21515e-08 1.01721e-08 9.06584e-09
304000 1.31652e-09 8.72966e-09 -2.97961e-08 -1.975e-08
306000 1.8979e-08 7.31477e-09 5.09189e-08 7.72127e-08
308000 -1.49599e-08 1.0488e-09 2.32742e-08 9.3631e-09
310000 -2.70415e-08 -1.38695e-08 -1.41947e-08 -5.51057e-08
312000 1.06817e-08 1.86689e-08 1.28218e-08 4.21724e-08
314000 4.48718e-08 -9.29773e-09 4.99312e-08 8.55053e-08
316000 -7.03997e-08 4.8644e-10 -1.32156e-08 -8.31289e-08
318000 4.33706e-08 1.60435e-08 1.82159e-08 7.76299e-08
320000 7.76544e-09 -8.72796e-09 -1.79628e-08 -1.89253e-08
322000 -6.20546e-09 -4.75012e-08 7.1781e-08 1.80744e-08
324000 3.22361e-09 2.78645e-08 -2.91661e-08 1.92203e-09
326000 7.1013e-09 -9.05126e-09 -1.56587e-08 -1.76087e-08
328000 2.91586e-08 -2.84059e-08 1.56276e-08 1.63803e-08
330000 6.39623e-09 3.53178e-08 7.679e-09 4.9393e-08
332000 1.57432e-09 -1.25614e-08 -1.83303e-08 -2.93174e-08
334000 -2.74925e-08 -2.38802e-08 8.91812e-09 -4.24545e-08
336000 3.73651e-08 1.20367e-08 -1.8076e-08 3.13257e-08
338000 -2.28641e-08 -2.20726e-08 1.1011e-09 -4.38356e-08
340000 1.20733e-08 4.65381e-08 1.10129e-08 6.96242e-08
342000 -6.42386e-08 -1.98299e-08 -1.0669e-08 -9.47375e-08
344000 5.07865e-08 -1.9662e-08 5.62903e-08 8.74148e-08
346000 6.047e-09 9.71493e-09 -6.42101e-08 -4.84482e-08
348000 -2.02996e-08 5.2304e-09 3.67843e-08 2.17152e-08
350000 -2.46373e-08 7.63072e-09 1.52971e-08 -1.70947e-09
352000 -3.32468e-08 2.41483e-08 8.73135e-09 -3.67165e-10
354000 1.04585e-08 -2.55815e-09 2.76355e-08 3.55359e-08
356000 -1.18228e-08 3.71885e-08 -2.03845e-08 4.98125e-09
358000 -3.3285e-08 -1.26983e-08 -1.12289e-08 -5.72122e-08
360000 3.28141e-08 -2.97027e-08 3.24267e-08 3.55382e-08
362000 6.27099e-09 9.08746e-09 1.20582e-08 2.74167e-08
364000 -1.67523e-08 -2.42184e-08 -1.80601e-08 -5.90308e-08
366000 1.69359e-08 -1.08373e-09 -3.36612e-08 -1.78091e-08
368000 1.86247e-08 2.21968e-09 -4.05313e-09 1.67913e-08
370000 -6.79817e-09 5.22445e-09 -4.99133e-09 -6.56505e-09
372000 -2.38217e-08 3.40933e-09 4.88251e-08 2.84128e-08
374000 -1.32932e-08 -1.45781e-08 -7.21136e-09 -3.50827e-08
376000 1.05075e-08 8.91927e-09 -2.1224e-08 -1.79722e-09
378000 -3.27884e-08 -3.43158e-08 -1.14552e-09 -6.82496e-08
380000 1.34301e-08 -1.78087e-08 -3.96695e-08 -4.40482e-08
382000 1.63863e-08 6.48504e-09 1.28501e-08 3.57215e-08
384000 -4.77698e-08 -1.89473e-08 1.8016e-08 -4.87012e-08
386000 -2.56854e-08 5.6249e-09 -7.44852e-08 -9.45457e-08
388000 -1.35694e-09 -1.94987e-08 1.63445e-08 -4.51112e-09
390000 2.72934e-08 -3.04089e-08 -5.71383e-09 -8.82931e-09
392000 -9.2553e-09 2.82544e-08 -2.79946e-08 -8.99548e-09
394000 -1.14797e-08 1.94104e-08 1.42994e-08 2.22301e-08
396000 2.12972e-08 7.06511e-09 -4.45392e-08 -1.61768e-08
398000 -3.75275e-08 -9.65509e-09 3.44482e-08 -1.27344e-08
400000 -2.476e-08 -2.07932e-08 -6.17361e-08 -1.07289e-07
402000 -1.99252e-08 4.87071e-08 -8.23125e-09 2.05507e-08
404000 -1.42463e-08 -1.61391e-08 1.11696e-08 -1.92158e-08
406000 -1.26967e-08 5.53023e-09 2.40109e-08 1.68444e-08
408000 1.96924e-08 -1.27115e-08 -2.29204e-08 -1.59395e-08
410000 -4.93618e-08 1.36907e-08 -2.68034e-09 -3.83514e-08
412000 2.50518e-08 -1.93757e-08 -4.81623e-08 -4.24862e-08
414000 2.8409e-08 3.07206e-08 1.02027e-08 6.93323e-08
416000 -9.55904e-09 -3.53784e-08 -9.09555e-09 -5.4033e-08
418000 -2.45123e-08 -3.3408e-08 4.47128e-08 -1.32075e-08
420000 -1.7954e-08 1.63727e-08 -3.33052e-08 -3.48865e-08
422000 -3.01902e-09 -4.17418e-09 7.15406e-08 6.43474e-08
424000 2.14712e-08 3.64571e-08 1.4572e-08 7.25003e-08
426000 2.89134e-08 -3.35389e-08 -3.68285e-08 -4.14541e-08
428000 -5.43533e-08 3.90613e-08 -2.21791e-08 -3.74711e-08
430000 -1.53233e-08 3.60223e-09 3.55314e-08 2.38103e-08
432000 3.82484e-08 4.1117e-08 -6.38019e-08 1.55635e-08
434000 -5.16729e-08 -8.61248e-09 1.92006e-08 -4.10848e-08
436000 -9.71822e-09 1.76105e-08 2.28771e-08 3.07694e-08
438000 -4.60789e-08 -3.1056e-08 3.52302e-08 -4.19046e-08
440000 4.26465e-08 -7.60894e-09 6.48696e-09 4.15245e-08
442000 -5.7003e-09 -8.75268e-09 1.43343e-08 -1.18661e-10
444000 -2.56654e-08 -7.30853e-09 -3.70288e-08 -7.00027e-08
446000 -2.73297e-08 -4.33976e-09 2.31102e-08 -8.55921e-09
448000 1.60107e-08 -4.31007e-08 4.45833e-08 1.74933e-08
450000 1.0419e-08 -9.907e-09 -3.88924e-08 -3.83804e-08
452000 -1.54233e-08 4.17639e-08 -3.55471e-08 -9.2064e-09
454000 1.44903e-08 6.13106e-09 7.13002e-09 2.77514e-08
456000 8.4274e-09 -9.46431e-09 2.6632e-10 -7.70589e-10
458000 1.16942e-08 -5.49752e-10 -3.69069e-10 1.07753e-08
460000 3.57897e-08 -5.70101e-08 6.09127e-08 3.96924e-08
462000 2.24837e-08 7.62784e-09 8.28184e-09 3.83934e-08
464000 -1.36528e-08 -7.93789e-09 -2.35004e-08 -4.50911e-08
466000 -1.78123e-08 -1.85831e-09 -9.81575e-09 -2.94864e-08
468000 -5.1505e-09 -3.17323e-09 1.55124e-08 7.18869e-09
470000 4.92815e-08 1.73188e-08 9.02192e-09 7.56223e-08
472000 -7.52729e-09 -2.1238e-08 4.07291e-08 1.19639e-08
474000 5.97774e-08 -5.09956e-09 -5.4318e-08 3.59828e-10
476000 -4.97525e-08 -5.8427e-08 -5.69586e-09 -1.13875e-07
478000 1.30226e-08 1.46503e-08 1.48628e-08 4.25357e-08
480000 -4.29293e-08 2.60419e-08 -8.69392e-09 -2.55814e-08
482000 -4.95894e-09 6.07071e-09 1.79395e-08 1.90513e-08
484000 -1.98998e-08 1.56258e-08 2.16068e-08 1.73329e-08
486000 4.55403e-08 -3.17702e-08 -3.20684e-08 -1.82983e-08
488000 4.48083e-10 1.45691e-08 -1.99492e-08 -4.93205e-09
490000 3.1086e-09 2.09827e-08 4.9894e-08 7.39853e-08
492000 -3.73655e-09 4.15446e-08 -1.92304e-08 1.85777e-08
494000 2.50409e-08 -1.71258e-08 -3.48569e-08 -2.69418e-08
496000 -5.29262e-09 4.91761e-09 -1.24676e-08 -1.28426e-08
498000 -7.44109e-09 6.69382e-09 2.09113e-08 2.0164e-08
500000 -1.42318e-08 -3.55252e-09 -1.19959e-08 -2.97802e-08
502000 -7.74834e-10 1.6311e-08 2.4804e-09 1.80165e-08
504000 3.01895e-08 -3.46537e-08 2.05685e-08 1.61043e-08
506000 1.10375e-08 3.70182e-08 -1.64158e-08 3.16399e-08
508000 1.89561e-08 -1.98357e-08 9.72852e-09 8.8489e-09
510000 -4.07608e-09 -1.21842e-08 -9.32814e-09 -2.55884e-08
512000 7.21308e-09 -1.06612e-08 -2.87565e-08 -3.22046e-08
514000 -2.37962e-09 -3.11495e-08 3.16986e-08 -1.83052e-09
516000 3.9301e-08 -1.69701e-08 -4.02611e-08 -1.79302e-08
518000 -2.41927e-08 6.0054e-08 2.62458e-08 6.21072e-08
520000 8.97145e-09 -2.18187e-08 -5.58204e-08 -6.86677e-08
522000 2.54733e-08 6.51217e-09 4.5606e-08 7.75915e-08
