# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
188000 -66.505 47.2567 -55.5911 25.5079 -155.187 129.679
190000 -153.75 27.026 0.32684 77.2675 -180.522 103.255
192000 6.9975 38.9868 -95.63 -8.53078 35.8307 -27.3
194000 29.4089 59.1634 -200.154 -118.015 131.7 -13.6851
196000 -6.11047 78.7122 -167.578 -40.4866 37.0593 3.42728
198000 9.9163 7.93093 -80.0585 -107.913 5.99179 101.921
200000 46.2517 -135.82 -49.3914 100.582 -157.033 56.4508
202000 -26.9776 -187.349 -7.04702 177.591 -165.422 -12.1695
204000 -109.297 -139.246 53.2278 45.5238 -115.854 70.3298
206000 -131.873 -143.129 -28.8967 36.1311 -114.558 78.4267
208000 -161.053 -77.1099 -60.4794 93.2517 21.5823 -114.834
210000 -73.2234 -82.7128 104.605 4.41348 -53.9534 49.5399
212000 -46.4169 -45.6507 84.0616 -64.808 -9.9473 74.7553
214000 29.1352 127.552 189.009 -76.7025 85.5636 -8.86109
216000 -63.738 153.398 24.155 -104.535 30.835 73.7003
218000 -100.764 37.4154 76.2085 -22.8946 63.2093 -40.3147
220000 -32.0761 5.99338 112.946 85.9308 -7.425 -78.5058
222000 109.158 63.4464 99.3135 104.336 -36.5833 -67.7526
224000 77.4353 59.2946 46.988 -73.5775 136.007 -62.4295
226000 -98.8287 63.4762 84.4769 -132.006 170.014 -38.0086
228000 -87.5221 -2.31066 -2.2391 -43.7951 -27.1356 70.9306
230000 59.4325 67.9014 -90.08 49.5968 84.9457 -134.542
232000 -29.8953 50.0209 -39.3776 82.9436 -43.6225 -39.3211
234000 -124.452 26.4738 -33.1346 145.642 -123.811 -21.8314
236000 -41.8973 85.2367 -56.8922 74.7387 -41.9365 -32.8021
238000 -123.098 48.2638 -12.3736 -32.2614 26.9148 5.34656
240000 17.4438 103.816 -23.8403 124.866 21.3793 -146.245
242000 48.8437 123.155 -28.6843 241.729 -60.6138 -181.115
244000 24.9818 67.8224 -117.782 84.8828 130.947 -215.83
246000 44.1226 36.2687 -28.8951 105.397 41.3555 -146.752
248000 -15.3334 -72.4121 -15.3452 58.7656 60.0208 -118.786
250000 80.3942 -1.45347 -126.164 21.5226 49.3409 -70.8635
252000 140.248 -3.08195 40.2951 118.725 -1.86157 -116.864
254000 100.018 80.6396 90.1355 27.1888 31.7912 -58.9799
256000 86.8496 130.64 -114.694 -72.2574 37.1095 35.1479
258000 168.635 -21.3709 -63.0981 -116.52 21.1644 95.3551
260000 89.9172 87.2155 -41.0635 -18.6551 -205.485 224.14
262000 177.095 100.711 -45.5416 -63.3381 -59.8674 123.206
264000 55.9492 61.7745 25.0166 79.6059 -51.7653 -27.8406
266000 77.3806 27.038 70.8297 29.4903 72.6519 -102.142
268000 24.8617 -39.4261 32.913 2.12017 145.425 -147.545
270000 -73.2265 24.5609 45.0342 44.4163 85.2245 -129.641
272000 -78.5507 111.459 24.547 -9.47996 130.872 -121.392
274000 -162.936 41.224 -40.8927 -116.491 158.001 -41.5099
276000 -82.3224 -60.963 -8.89716 -119.599 117.96 1.63871
278000 -0.606931 -72.8381 2.353 -43.1061 -68.214 111.32
280000 -54.459 18.9735 100.609 -188.768 109.837 78.9312
282000 -3.83841 -12.8163 5.32893 -117.778 84.7313 33.0463
284000 -40.4611 -84.0849 -46.4112 -106.938 191.677 -84.7393
286000 -101.928 13.3607 18.6719 -50.7154 92.2762 -41.5608
288000 -77.2258 -21.6563 91.6406 -156.938 -20.7885 177.727
290000 16.7834 41.7856 72.8604 -162.897 5.13997 157.757
292000 54.1131 -27.55 75.5944 -92.7133 2.72201 89.9913
294000 68.2212 14.4787 50.9607 23.4673 -83.4707 60.0034
296000 82.9821 50.9533 -9.50218 -98.6742 -17.7283 116.403
298000 47.4779 -64.9767 115.286 29.0259 -65.2433 36.2174
300000 163.423 22.2043 113.053 54.4313 12.8966 -67.3279
302000 147.948 85.7111 -26.1577 -72.0946 178.785 -106.691
304000 176.997 83.7543 44.0055 -29.1023 41.2563 -12.154
306000 131.682 38.9919 42.8174 -2.26048 12.895 -10.6345
308000 96.1541 56.5644 40.4043 -43.1503 -48.8262 91.9764
310000 102.009 131.415 -60.6731 -206.025 82.5046 123.521
312000 -30.5864 -53.4904 -155.591 -137.442 3.86366 133.578
314000 12.5157 -81.9555 -3.54409 -78.5294 82.1458 -3.61642
316000 -97.6547 128.202 32.7301 -184.443 46.1169 138.326
318000 -258.125 109.33 57.6141 33.8279 65.7029 -99.5308
320000 -89.4297 93.8855 87.7547 94.7773 -15.9329 -78.8444
322000 6.50666 -86.5051 90.7261 -0.476094 -36.659 37.1351
324000 38.3621 -42.5821 162.286 -1.27925 -33.3298 34.6091
326000 -27.0225 -57.1061 4.74155 -64.5886 -17.423 82.0117
328000 18.3846 -79.3571 73.5067 9.07275 -48.3017 39.229
330000 16.0636 -72.7118 -67.6335 77.12 58.4364 -135.556
332000 57.5779 44.8274 -55.487 132.022 13.4839 -145.506
334000 166.935 0.367416 47.1632 112.017 -117.933 5.91588
336000 194.407 -67.6158 -114.729 17.9721 -21.2029 3.23082
338000 46.4132 -1.87256 -87.8073 128.987 -126.054 -2.93256
340000 87.9517 1.81018 -106.156 49.3591 -122.552 73.1925
342000 -26.8183 56.9054 -10.304 194.888 8.59174 -203.479
344000 -18.2843 28.9127 48.8478 92.64 38.9661 -131.606
346000 83.7921 9.20325 19.7875 -30.3092 101.442 -71.1324
348000 -64.9032 158.015 85.4972 -52.8421 16.8985 35.9436
350000 -10.5616 66.2009 -14.3878 -104.544 152.716 -48.1719
352000 -104.403 76.1999 -102.969 -155.633 133.242 22.3916
354000 -0.197893 11.8619 -84.2662 -108.46 91.5998 16.86
356000 -24.7098 25.3084 -61.9382 -33.8252 -55.9406 89.7659
358000 -51.6997 36.7316 -24.3879 -57.8123 -50.4711 108.283
360000 -14.6475 20.0331 -10.3546 -37.734 34.5277 3.20636
362000 -38.6454 -95.759 -43.4327 21.7746 43.6636 -65.4382
364000 -100.387 -86.482 -42.1212 -28.2444 64.6374 -36.393
366000 -88.0608 -77.4225 -149.7 -66.782 -72.6563 139.438
368000 -88.7845 -92.817 -196.214 -122.311 -63.4565 185.768
370000 -171.975 -88.5491 -86.0867 -117.35 29.7186 87.6316
372000 -97.6198 -71.4626 -166.769 50.0659 92.293 -142.359
374000 -99.7495 -86.4799 -27.9888 -20.9128 38.7494 -17.8366
376000 -84.864 -86.8449 -29.5737 -103.598 150.958 -47.3599
378000 -180.436 -84.5089 8.21058 -116.316 300.198 -183.882
380000 -79.2104 29.3351 19.2729 24.0786 13.209 -37.2876
382000 -92.6675 -35.0093 69.3145 -68.3387 64.2666 4.07213
384000 -124.293 15.7359 48.1261 -99.8981 39.5168 60.3814
386000 -57.2751 -12.7549 -26.8849 -26.809 -1.39977 28.2088
388000 154.161 -11.5792 50.7704 -109.32 104.815 4.50533
390000 -62.6661 13.2381 77.0037 -87.476 32.0914 55.3847
392000 -79.045 -52.7291 46.0538 -107.89 16.6979 91.1925
394000 36.3655 -163.265 4.77463 -130.148 20.3437 109.804
396000 8.52535 -38.365 -61.9812 57.8527 -110.652 52.7991
398000 2.48743 -15.7396 -45.0078 195.969 -83.6632 -112.306
400000 74.9248 0.0460931 -121.937 62.5402 -84.2361 21.6959
402000 39.7389 -0.213981 -153.858 85.2053 -134.347 49.142
404000 9.54729 31.7167 -95.2999 197.549 -143.765 -53.7837
406000 -74.6553 -41.1381 60.215 27.6712 -180.896 153.225
408000 -49.956 -17.2772 27.9412 61.385 -176.471 115.086
410000 -18.2379 -20.409 208.146 94.6354 -155.382 60.7464
412000 27.7445 -46.337 1.65418 -47.5673 -193.601 241.168
414000 -20.8126 -41.6287 -104.805 40.1763 -237.901 197.725
416000 -100.347 18.5875 -45.5417 -71.5652 44.889 26.6762
418000 -106.926 125.547 -52.6476 -52.0189 72.5758 -20.5569
420000 -194.116 26.9844 67.9518 8.38271 28.9786 -37.3613
422000 -77.6966 -5.39945 186.232 -60.9396 190.676 -129.736
424000 -97.7309 -63.4749 71.5627 39.8498 91.6926 -131.542
426000 -68.6094 92.0442 166.988 153.081 30.5899 -183.671
428000 16.6711 37.1331 185.442 126.427 -99.8825 -26.5449
430000 -59.6015 -163.975 -36.7001 -29.5233 -46.2684 75.7918
432000 -107.859 -14.0932 -105.92 -104.826 66.4841 38.3422
434000 -43.9189 139.701 -177.207 -17.5318 7.51935 10.0124
436000 -43.8848 140.209 -114.029 -49.3587 29.5384 19.8203
438000 -16.9676 124.112 -122.471 75.4236 -95.917 20.4934
440000 -77.6951 96.3999 -58.2163 -167.15 193.041 -25.8913
442000 -67.6236 62.4624 64.0078 -75.764 2.3438 73.4202
444000 -35.5024 -44.2893 -10.7831 -197.688 70.6745 127.014
446000 9.90782 -75.3413 18.1181 -172.328 123.435 48.8932
448000 7.80277 -55.7091 31.5937 45.4036 -101.945 56.5411
450000 53.4543 -7.64754 0.39162 131.184 -88.6758 -42.5081
452000 133.612 -101.444 22.3058 35.1316 21.399 -56.5306
454000 58.8771 -26.5578 54.8322 -80.979 123.796 -42.8166
456000 29.2793 -53.7555 84.6561 83.7124 23.9166 -107.629
458000 156.78 21.8185 -88.6829 28.4303 82.3586 -110.789
460000 155.231 -84.4669 34.8331 16.2208 19.7597 -35.9805
462000 110.758 -38.7449 34.5976 -29.2987 57.8337 -28.535
464000 56.4735 -100.579 -0.279028 210.683 -96.8911 -113.791
466000 -54.5201 -69.822 -47.1791 212.328 -52.1292 -160.198
468000 -97.8649 5.83312 -20.7497 51.1448 -42.766 -8.37876
470000 -35.2389 -34.2766 -10.5721 22.4276 26.1749 -48.6025
472000 -67.2947 -18.7956 73.8482 68.1548 40.1101 -108.265
474000 -137.228 32.0377 83.6272 17.4063 196.158 -213.565
476000 -35.5955 -10.1571 63.0086 1.7194 9.45878 -11.1782
478000 50.3235 47.4306 -9.59078 -11.6447 112.647 -101.002
480000 -5.33479 96.4281 -36.0266 126.853 -80.4405 -46.4121
482000 104.811 -39.8379 11.45 20.5907 -98.556 77.9653
484000 73.7975 59.579 17.3185 -4.38409 -86.65 91.0341
486000 62.138 -24.103 44.5588 161.286 -122.955 -38.3306
488000 193.246 42.4894 49.7139 134.107 -193.864 59.7578
490000 121.59 -3.47851 73.9872 156.141 -149.576 -6.56502
492000 35.2747 47.993 89.1438 166.83 -136.794 -30.0359
494000 178.117 18.3011 135.817 66.9282 -159.255 92.3264
496000 36.5869 92.1376 78.9611 64.014 -141.748 77.7339
498000 17.9332 200.156 65.3014 142.828 -173.907 31.0793
500000 -101.346 172.667 18.0964 130.003 -134.615 4.61206
502000 -108.257 58.812 -85.2865 45.2371 -170.458 125.22
504000 -98.4144 16.1536 -2.05965 34.9629 -114.53 79.5669
506000 -7.34291 -104.778 12.2377 -95.414 -66.177 161.591
508000 18.6648 -12.5612 36.6992 -56.7773 -48.3029 105.08
510000 5.4562 -8.46156 -4.39033 -54.913 -77.156 132.069
512000 36.3378 86.9029 84.1938 -85.5262 79.832 5.69419
514000 37.1998 94.4468 -15.9166 -57.3878 12.1869 45.2009
516000 113.666 129.42 19.7691 -187.121 -20.9299 208.051
518000 4.10884 194.184 66.8408 -89.9205 -13.9006 103.821
520000 17.0343 164.512 91.0555 -71.1856 60.0482 11.1375
522000 39.6333 133.708 77.7699 -49.8554 47.3436 2.51174
524000 -126.597 140.272 -0.687194 -63.2486 -23.6695 86.9181
526000 -112.307 -62.539 126.792 41.2782 -135.618 94.3396
528000 -175.982 15.7101 52.2939 30.1331 -91.1504 61.0172
530000 -31.5429 -51.4461 -65.8596 78.1475 41.024 -119.171
532000 5.59078 -75.8368 -35.6191 25.6899 206.14 -231.83
534000 4.3266 -132.3 90.7538 132.234 91.824 -224.058
536000 57.9416 -125.894 45.0653 127.559 13.1387 -140.698
538000 69.1202 16.447 27.6284 140.076 -37.8747 -102.201
540000 -7.03444 -41.2668 -2.57736 181.099 -162.779 -18.3197
542000 -51.5961 -106.785 22.5173 97.8097 -10.999 -86.8107
544000 33.803 -69.6951 -69.9066 83.6158 15.2676 -98.8834
546000 113.749 6.08017 -122.605 -160.627 112.641 47.9857
548000 -73.2684 92.1721 -131.891 -321.616 130.9 190.717
550000 23.4235 12.3761 -72.3125 -258.764 115.507 143.258
552000 -111.186 69.5856 121.511 52.2989 -20.039 -32.2599
554000 -108.17 -27.9991 75.1986 -21.0508 101.709 -80.6583
556000 -99.9727 -57.6266 107.207 -38.9969 26.953 12.0439
558000 -110.729 -57.5368 22.2002 -90.1594 51.5775 38.5819
560000 -64.827 -69.3483 -12.6389 35.8855 102.782 -138.668
562000 -80.9994 33.1041 -87.2749 95.133 46.9211 -142.054
564000 -89.007 55.1722 -41.6709 -66.4863 150.7 -84.214
566000 -36.6947 -75.0255 97.866 75.3181 2.28067 -77.5988
568000 -37.1473 1.37708 11.3078 -48.6877 -74.8565 123.544
570000 61.7819 -8.70415 -27.3782 31.5132 -50.0129 18.4997
572000 27.8595 28.6892 -47.3024 -77.3718 149.307 -71.9355
574000 -2.66442 -56.3064 22.8229 -105.713 124.962 -19.2491
576000 -25.3997 -13.2624 8.1187 5.11049 26.7164 -31.8269
578000 -75.9959 4.26248 -15.6469 46.7314 11.2137 -57.945
580000 -128.611 -26.1098 -8.42904 162.284 -57.5011 -104.783
582000 -102.31 -75.6413 -59.9693 74.5169 -33.6052 -40.9118
584000 -118.962 -88.2301 -84.5472 -71.8539 22.8679 48.986
586000 20.5104 24.7183 -64.9762 -25.7462 9.94121 15.805
588000 -81.84 -59.5079 -43.4188 11.2479 -27.8352 16.5873
590000 -44.4405 1.69513 -70.7055 -73.7316 23.4811 50.2505
592000 -0.271066 -120.548 -57.9904 33.7841 -123.867 90.0827
594000 -87.5051 -83.6615 -118.993 48.3063 -146.347 98.0408
596000 40.4898 -11.5203 19.0382 -111.195 -52.2398 163.435
598000 4.15152 -54.5066 -20.1562 -166.959 14.306 152.653
600000 42.9045 -13.0376 -102.521 -50.0563 -65.2301 115.286
602000 -60.2035 82.8334 -22.6021 31.1622 -105.025 73.8631
604000 62.037 10.1557 -4.04839 37.4688 -69.2072 31.7385
606000 34.591 -6.07682 -24.5961 31.5681 21.521 -53.0891
608000 -19.9126 -88.1571 -5.0477 -29.8789 80.9293 -51.0504
610000 -69.4011 -228.995 -131.229 -57.7005 39.6523 18.0482
612000 35.5916 -137.445 -231.255 -21.1977 3.49626 17.7015
614000 -13.3271 -69.5287 -224.555 163.276 -88.2575 -75.0184
616000 -80.1929 -115.367 -122.146 16.4165 48.1851 -64.6016
618000 70.5841 -5.00282 -81.7564 -1.31238 -89.4938 90.8062
620000 -78.5031 21.4362 0.993403 109.513 -81.6681 -27.8448
622000 16.1602 -4.72579 -50.4004 191.026 -146.744 -44.2822
624000 -67.8651 32.9996 -195.733 47.2572 7.61334 -54.8705
626000 -105.97 44.4516 9.52852 3.17436 68.7589 -71.9333
628000 -158.534 35.6492 -51.7981 -44.1198 102.395 -58.2756
630000 -68.7803 -30.7865 -146.884 53.1752 21.7994 -74.9746
632000 -55.1303 -59.8244 -2.30843 148.922 -13.8712 -135.051
634000 -34.5086 -28.1682 -19.3324 115.126 -113.229 -1.89665
636000 -96.7448 63.1719 127.534 138.61 -201.35 62.7402
638000 -41.2169 -76.8086 111.782 114.929 -26.3754 -88.5536
640000 13.4896 -82.4761 -0.502419 91.269 55.1691 -146.438
642000 -14.7936 36.9519 -21.9649 116.94 -91.6245 -25.3159
644000 -108.386 -141.841 33.0394 66.7197 26.528 -93.2477
646000 -90.2724 94.3215 -11.0975 11.8684 52.4131 -64.2816
